ID,Name,Description,Contributor,Citation,Number_of_words,Language_ID,primary_contributors,secondary_contributors
1,Swahili vocabulary,1,Thilo Schadeberg,"Thilo Schadeberg. 2009. Swahili vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1625 entries. (Available online at https://wold.clld.org/vocabulary/1)",1625,Swahili,schadebergthilo,
2,Iraqw vocabulary,2,Maarten Mous,"Maarten Mous. 2009. Iraqw vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1117 entries. (Available online at https://wold.clld.org/vocabulary/2)",1117,Iraqw,mousmaarten,
3,Gawwada vocabulary,3,Mauro Tosco,"Mauro Tosco. 2009. Gawwada vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 982 entries. (Available online at https://wold.clld.org/vocabulary/3)",982,Gawwada,toscomauro,
4,Hausa vocabulary,4,Ari Awagana and H. Ekkehard Wolff with Doris Löhr,"Ari Awagana and H. Ekkehard Wolff (with Doris Löhr). 2009. Hausa vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1452 entries. (Available online at https://wold.clld.org/vocabulary/4)",1452,Hausa,awaganaari wolffhekkehard,lohrdoris
5,Kanuri vocabulary,5,Doris Löhr and H. Ekkehard Wolff with Ari Awagana,"Doris Löhr and H. Ekkehard Wolff (with Ari Awagana). 2009. Kanuri vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1427 entries. (Available online at https://wold.clld.org/vocabulary/5)",1427,Kanuri,lohrdoris wolffhekkehard,awaganaari
6,Tarifiyt Berber vocabulary,6,Maarten Kossmann,"Maarten Kossmann. 2009. Tarifiyt Berber vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1533 entries. (Available online at https://wold.clld.org/vocabulary/6)",1533,TarifiytBerber,kossmannmaarten,
7,Seychelles Creole vocabulary,7,Susanne Michaelis with Marcel Rosalie and Katrin Muhme,"Susanne Michaelis (with Marcel Rosalie and Katrin Muhme). 2009. Seychelles Creole vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1880 entries. (Available online at https://wold.clld.org/vocabulary/7)",1880,SeychellesCreole,michaelissusanne,rosaliemarcel muhmekatrin
8,Romanian vocabulary,8,Kim Schulte,"Kim Schulte. 2009. Romanian vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 2137 entries. (Available online at https://wold.clld.org/vocabulary/8)",2137,Romanian,schultekim,
9,Selice Romani vocabulary,9,Viktor Elšík,"Viktor Elšík. 2009. Selice Romani vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1536 entries. (Available online at https://wold.clld.org/vocabulary/9)",1536,SeliceRomani,elsikviktor,
10,Lower Sorbian vocabulary,10,Hauke Bartels,"Hauke Bartels. 2009. Lower Sorbian vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1671 entries. (Available online at https://wold.clld.org/vocabulary/10)",1671,LowerSorbian,bartelshauke,
11,Old High German vocabulary,11,Roland Schuhmann,"Roland Schuhmann. 2009. Old High German vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1203 entries. (Available online at https://wold.clld.org/vocabulary/11)",1203,OldHighGerman,schuhmannroland,
12,Dutch vocabulary,12,Nicoline van der Sijs,"Nicoline van der Sijs. 2009. Dutch vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1513 entries. (Available online at https://wold.clld.org/vocabulary/12)",1513,Dutch,vandersijsnicoline,
13,English vocabulary,13,Anthony Grant,"Anthony Grant. 2009. English vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1505 entries. (Available online at https://wold.clld.org/vocabulary/13)",1505,English,grantanthony,
14,Kildin Saami vocabulary,14,Michael Rießler,"Michael Rießler. 2009. Kildin Saami vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1342 entries. (Available online at https://wold.clld.org/vocabulary/14)",1342,KildinSaami,riesslermichael,
15,Bezhta vocabulary,15,Bernard Comrie and Madzhid Khalilov,"Bernard Comrie and Madzhid Khalilov. 2009. Bezhta vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1344 entries. (Available online at https://wold.clld.org/vocabulary/15)",1344,Bezhta,comriebernard khalilovmadzhid,
16,Archi vocabulary,16,Marina Chumakina,"Marina Chumakina. 2009. Archi vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1112 entries. (Available online at https://wold.clld.org/vocabulary/16)",1112,Archi,chumakinamarina,
17,Manange vocabulary,17,Kristine Hildebrandt,"Kristine Hildebrandt. 2009. Manange vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1009 entries. (Available online at https://wold.clld.org/vocabulary/17)",1009,Manange,hildebrandtkristine,
18,Ket vocabulary,18,Edward Vajda and Andrey Nefedov,"Edward Vajda and Andrey Nefedov. 2009. Ket vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1030 entries. (Available online at https://wold.clld.org/vocabulary/18)",1030,Ket,vajdaedward nefedovandrey,
19,Sakha vocabulary,19,Brigitte Pakendorf and Innokentij Novgorodov,"Brigitte Pakendorf and Innokentij Novgorodov. 2009. Sakha vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1411 entries. (Available online at https://wold.clld.org/vocabulary/19)",1411,Sakha,pakendorfbrigitte novgorodovinnokentij,
20,Oroqen vocabulary,20,Fengxiang Li and Lindsay J. Whaley,"Fengxiang Li and Lindsay J. Whaley. 2009. Oroqen vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1138 entries. (Available online at https://wold.clld.org/vocabulary/20)",1138,Oroqen,lifengxiang whaleylindsayj,
21,Japanese vocabulary,21,Christopher K. Schmidt,"Christopher K. Schmidt. 2009. Japanese vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1975 entries. (Available online at https://wold.clld.org/vocabulary/21)",1975,Japanese,schmidtchristopherk,
