ID,Name,Description,Contributor,Citation,Number_of_words,Language_ID,primary_contributors,secondary_contributors
22,Mandarin Chinese vocabulary,22,Thekla Wiebusch,"Thekla Wiebusch. 2009. Mandarin Chinese vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 2049 entries. (Available online at https://wold.clld.org/vocabulary/22)",2049,MandarinChinese,wiebuschthekla,
23,Thai vocabulary,23,Titima Suthiwan,"Titima Suthiwan. 2009. Thai vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 2073 entries. (Available online at https://wold.clld.org/vocabulary/23)",2073,Thai,suthiwantitima,
24,Vietnamese vocabulary,24,Mark Alves,"Mark Alves. 2009. Vietnamese vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1477 entries. (Available online at https://wold.clld.org/vocabulary/24)",1477,Vietnamese,alvesmark,
25,White Hmong vocabulary,25,Martha Ratliff,"Martha Ratliff. 2009. White Hmong vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1292 entries. (Available online at https://wold.clld.org/vocabulary/25)",1292,WhiteHmong,ratliffmartha,
26,Ceq Wong vocabulary,26,Nicole Kruspe,"Nicole Kruspe. 2009. Ceq Wong vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 871 entries. (Available online at https://wold.clld.org/vocabulary/26)",871,CeqWong,kruspenicole,
27,Indonesian vocabulary,27,Uri Tadmor,"Uri Tadmor. 2009. Indonesian vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1945 entries. (Available online at https://wold.clld.org/vocabulary/27)",1945,Indonesian,tadmoruri,
28,Malagasy vocabulary,28,Alexander Adelaar,"Alexander Adelaar. 2009. Malagasy vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1526 entries. (Available online at https://wold.clld.org/vocabulary/28)",1526,Malagasy,adelaaralexander,
29,Takia vocabulary,29,Malcolm Ross,"Malcolm Ross. 2009. Takia vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1125 entries. (Available online at https://wold.clld.org/vocabulary/29)",1125,Takia,rossmalcolm,
30,Hawaiian vocabulary,30,ʻŌiwi Parker Jones,"ʻŌiwi Parker Jones. 2009. Hawaiian vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1306 entries. (Available online at https://wold.clld.org/vocabulary/30)",1306,Hawaiian,parkerjonesoiwi,
31,Gurindji vocabulary,31,Patrick McConvell,"Patrick McConvell. 2009. Gurindji vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 842 entries. (Available online at https://wold.clld.org/vocabulary/31)",842,Gurindji,mcconvellpatrick,
32,Yaqui vocabulary,32,Zarina Estrada Fernández,"Zarina Estrada Fernández. 2009. Yaqui vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1384 entries. (Available online at https://wold.clld.org/vocabulary/32)",1384,Yaqui,estradafernandezzarina,
33,Zinacantán Tzotzil vocabulary,33,Cecil H. Brown,"Cecil H. Brown. 2009. Zinacantán Tzotzil vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1217 entries. (Available online at https://wold.clld.org/vocabulary/33)",1217,ZinacantanTzotzil,browncecilh,
34,Q'eqchi' vocabulary,34,Søren Wichmann and Kerry Hull,"Søren Wichmann and Kerry Hull. 2009. Q'eqchi' vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1774 entries. (Available online at https://wold.clld.org/vocabulary/34)",1774,Qeqchi,wichmannsoren hullkerry,
35,Otomi vocabulary,35,Dik Bakker and Ewald Hekking,"Dik Bakker and Ewald Hekking. 2009. Otomi vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 2158 entries. (Available online at https://wold.clld.org/vocabulary/35)",2158,Otomi,bakkerdik hekkingewald,
36,Saramaccan vocabulary,36,Jeff Good,"Jeff Good. 2009. Saramaccan vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1103 entries. (Available online at https://wold.clld.org/vocabulary/36)",1103,Saramaccan,goodjeff,
37,Imbabura Quechua vocabulary,37,Jorge A. Gómez Rendón,"Jorge A. Gómez Rendón. 2009. Imbabura Quechua vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1179 entries. (Available online at https://wold.clld.org/vocabulary/37)",1179,ImbaburaQuechua,gomezrendonjorgea,
38,Kali'na vocabulary,38,Odile Renault-Lescure,"Odile Renault-Lescure. 2009. Kali'na vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1191 entries. (Available online at https://wold.clld.org/vocabulary/38)",1191,Kalina,renaultlescureodile,
39,Hup vocabulary,39,Patience Epps,"Patience Epps. 2009. Hup vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 994 entries. (Available online at https://wold.clld.org/vocabulary/39)",994,Hup,eppspatience,
40,Wichí vocabulary,40,Alejandra Vidal and Verónica Nercesian,"Alejandra Vidal and Verónica Nercesian. 2009. Wichí vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1187 entries. (Available online at https://wold.clld.org/vocabulary/40)",1187,Wichi,vidalalejandra nercesianveronica,
41,Mapudungun vocabulary,41,Lucía Golluscio and Adriana Fraguas and Fresia Mellico,"Lucía Golluscio and Adriana Fraguas and Fresia Mellico. 2009. Mapudungun vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1291 entries. (Available online at https://wold.clld.org/vocabulary/41)",1291,Mapudungun,gollusciolucia fraguasadriana mellicofresia,
