ID,Name,Description,Media_Type,Download_URL,Path_In_Zip
1,Description of vocabulary Swahili,,text/plain,descriptions/vocabulary_1.md,
2,Description of vocabulary Iraqw,,text/plain,descriptions/vocabulary_2.md,
3,Description of vocabulary Gawwada,,text/plain,descriptions/vocabulary_3.md,
4,Description of vocabulary Hausa,,text/plain,descriptions/vocabulary_4.md,
5,Description of vocabulary Kanuri,,text/plain,descriptions/vocabulary_5.md,
6,Description of vocabulary Tarifiyt Berber,,text/plain,descriptions/vocabulary_6.md,
7,Description of vocabulary Seychelles Creole,,text/plain,descriptions/vocabulary_7.md,
8,Description of vocabulary Romanian,,text/plain,descriptions/vocabulary_8.md,
9,Description of vocabulary Selice Romani,,text/plain,descriptions/vocabulary_9.md,
10,Description of vocabulary Lower Sorbian,,text/plain,descriptions/vocabulary_10.md,
11,Description of vocabulary Old High German,,text/plain,descriptions/vocabulary_11.md,
12,Description of vocabulary Dutch,,text/plain,descriptions/vocabulary_12.md,
13,Description of vocabulary English,,text/plain,descriptions/vocabulary_13.md,
14,Description of vocabulary Kildin Saami,,text/plain,descriptions/vocabulary_14.md,
15,Description of vocabulary Bezhta,,text/plain,descriptions/vocabulary_15.md,
16,Description of vocabulary Archi,,text/plain,descriptions/vocabulary_16.md,
17,Description of vocabulary Manange,,text/plain,descriptions/vocabulary_17.md,
18,Description of vocabulary Ket,,text/plain,descriptions/vocabulary_18.md,
19,Description of vocabulary Sakha,,text/plain,descriptions/vocabulary_19.md,
20,Description of vocabulary Oroqen,,text/plain,descriptions/vocabulary_20.md,
21,Description of vocabulary Japanese,,text/plain,descriptions/vocabulary_21.md,
22,Description of vocabulary Mandarin Chinese,,text/plain,descriptions/vocabulary_22.md,
23,Description of vocabulary Thai,,text/plain,descriptions/vocabulary_23.md,
24,Description of vocabulary Vietnamese,,text/plain,descriptions/vocabulary_24.md,
25,Description of vocabulary White Hmong,,text/plain,descriptions/vocabulary_25.md,
26,Description of vocabulary Ceq Wong,,text/plain,descriptions/vocabulary_26.md,
27,Description of vocabulary Indonesian,,text/plain,descriptions/vocabulary_27.md,
28,Description of vocabulary Malagasy,,text/plain,descriptions/vocabulary_28.md,
29,Description of vocabulary Takia,,text/plain,descriptions/vocabulary_29.md,
30,Description of vocabulary Hawaiian,,text/plain,descriptions/vocabulary_30.md,
31,Description of vocabulary Gurindji,,text/plain,descriptions/vocabulary_31.md,
32,Description of vocabulary Yaqui,,text/plain,descriptions/vocabulary_32.md,
33,Description of vocabulary Zinacantán Tzotzil,,text/plain,descriptions/vocabulary_33.md,
34,Description of vocabulary Q'eqchi',,text/plain,descriptions/vocabulary_34.md,
35,Description of vocabulary Otomi,,text/plain,descriptions/vocabulary_35.md,
36,Description of vocabulary Saramaccan,,text/plain,descriptions/vocabulary_36.md,
37,Description of vocabulary Imbabura Quechua,,text/plain,descriptions/vocabulary_37.md,
38,Description of vocabulary Kali'na,,text/plain,descriptions/vocabulary_38.md,
39,Description of vocabulary Hup,,text/plain,descriptions/vocabulary_39.md,
40,Description of vocabulary Wichí,,text/plain,descriptions/vocabulary_40.md,
41,Description of vocabulary Mapudungun,,text/plain,descriptions/vocabulary_41.md,
