ID,Name,Citation,Authors,Number_of_words,Language_ID
11,Old High German vocabulary,"Roland Schuhmann. 2009. Old High German vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1203 entries. (Available online at https://wold.clld.org/vocabulary/11)",Roland Schuhmann,1203,OldHighGerman
12,Dutch vocabulary,"Nicoline van der Sijs. 2009. Dutch vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1513 entries. (Available online at https://wold.clld.org/vocabulary/12)",Nicoline van der Sijs,1513,Dutch
13,English vocabulary,"Anthony Grant. 2009. English vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1505 entries. (Available online at https://wold.clld.org/vocabulary/13)",Anthony Grant,1505,English
14,Kildin Saami vocabulary,"Michael Rießler. 2009. Kildin Saami vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1342 entries. (Available online at https://wold.clld.org/vocabulary/14)",Michael Rießler,1342,KildinSaami
15,Bezhta vocabulary,"Bernard Comrie and Madzhid Khalilov. 2009. Bezhta vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1344 entries. (Available online at https://wold.clld.org/vocabulary/15)",Bernard Comrie and Madzhid Khalilov,1344,Bezhta
16,Archi vocabulary,"Marina Chumakina. 2009. Archi vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1112 entries. (Available online at https://wold.clld.org/vocabulary/16)",Marina Chumakina,1112,Archi
17,Manange vocabulary,"Kristine Hildebrandt. 2009. Manange vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1009 entries. (Available online at https://wold.clld.org/vocabulary/17)",Kristine Hildebrandt,1009,Manange
18,Ket vocabulary,"Edward Vajda and Andrey Nefedov. 2009. Ket vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1030 entries. (Available online at https://wold.clld.org/vocabulary/18)",Edward Vajda and Andrey Nefedov,1030,Ket
19,Sakha vocabulary,"Brigitte Pakendorf and Innokentij Novgorodov. 2009. Sakha vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1411 entries. (Available online at https://wold.clld.org/vocabulary/19)",Brigitte Pakendorf and Innokentij Novgorodov,1411,Sakha
20,Oroqen vocabulary,"Fengxiang Li and Lindsay J. Whaley. 2009. Oroqen vocabulary. In: Haspelmath, Martin & Tadmor, Uri (eds.) World Loanword Database. Leipzig: Max Planck Institute for Evolutionary Anthropology, 1138 entries. (Available online at https://wold.clld.org/vocabulary/20)",Fengxiang Li and Lindsay J. Whaley,1138,Oroqen
