ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,WOLD_ID
Swahili,Swahili,swah1253,,swh,,-6.5,39,,1
Iraqw,Iraqw,iraq1241,,irk,,-4,35.5,,2
Gawwada,Gawwada,gaww1239,,gwd,,5.5,37.25,,3
Hausa,Hausa,haus1257,,hau,,12,7,,4
Kanuri,Kanuri,cent2050,,knc,,12,13,,5
TarifiytBerber,Tarifiyt Berber,tari1263,,rif,,34.5,-4,,6
SeychellesCreole,Seychelles Creole,sese1246,,crs,,-4.75,55.5,,7
Romanian,Romanian,roma1327,,ron,,46,25,,8
SeliceRomani,Selice Romani,west2376,,,,48.091,17.9609,,9
LowerSorbian,Lower Sorbian,lowe1385,,dsb,,51.75,14.3333,,10
OldHighGerman,Old High German,oldh1241,,,,50.55,9.68333,,11
Dutch,Dutch,dutc1256,,nld,,52.5,6,,12
English,English,stan1293,,eng,,52,0,,13
KildinSaami,Kildin Saami,kild1236,,sjd,,67,37,,14
Bezhta,Bezhta,bezh1248,,kap,,42.0833,46.1667,,15
Archi,Archi,arch1244,,aqc,,42,46.8333,,16
Manange,Manange,mana1288,,nmm,,28,84.25,,17
Ket,Ket,kett1243,,ket,,64,87,,18
Sakha,Sakha,yaku1245,,,,62,130,,19
Oroqen,Oroqen,oroq1238,,orh,,51.2829,126.111,,20
Japanese,Japanese,nucl1643,,jpn,,37,140,,21
MandarinChinese,Mandarin Chinese,mand1415,,cmn,,34,110,,22
Thai,Thai,thai1261,,tha,,16,101,,23
Vietnamese,Vietnamese,viet1252,,vie,,10.5,106.5,,24
WhiteHmong,White Hmong,hmon1333,,mww,,26,105,,25
CeqWong,Ceq Wong,chew1245,,cwg,,3.8807,102.456,,26
Indonesian,Indonesian,indo1316,,ind,,0,106,,27
Malagasy,Malagasy,plat1254,,plt,,-20,47,,28
Takia,Takia,taki1248,,tbc,,-4.66667,146,,29
Hawaiian,Hawaiian,hawa1245,,haw,,19.5833,-155.5,,30
Gurindji,Gurindji,guri1247,,gue,,-17.6667,130.667,,31
Yaqui,Yaqui,yaqu1251,,yaq,,27.5,-110.25,,32
ZinacantanTzotzil,Zinacantán Tzotzil,tzot1259,,tzz,,16.8333,-92.8333,,33
Qeqchi,Q'eqchi',kekc1242,,kek,,16,-89.8333,,34
Otomi,Otomi,mezq1235,,ote,,20.1667,-98.8333,,35
Saramaccan,Saramaccan,sara1340,,srm,,4.5,-55.5,,36
ImbaburaQuechua,Imbabura Quechua,imba1240,,qvi,,0.333333,-78,,37
Kalina,Kali'na,gali1262,,car,,5.5,-56,,38
Hup,Hup,hupd1244,,jup,,0.166667,-69.25,,39
Wichi,Wichí,wich1264,,mzh,,-22.5,-62.5833,,40
Mapudungun,Mapudungun,mapu1245,,arn,,-38,-72,,41
