ID,Name,Concepticon_ID,Concepticon_Gloss
1-1,the world,965,WORLD
1-21,the land,626,LAND
1-212,the soil,1228,EARTH (SOIL)
1-213,the dust,2,DUST
1-214,the mud,640,MUD
1-215,the sand,671,SAND
1-22,the mountain or hill,2118,MOUNTAIN OR HILL
1-222,the cliff or precipice,618,PRECIPICE
1-23,the plain,652,PLAIN
1-24,the valley,921,VALLEY
1-25,the island,622,ISLAND
1-26,the mainland,166,MAINLAND
1-27,the shore,113,SHORE
1-28,the cave,1155,CAVE
1-31,the water,948,WATER
1-32,the sea,1474,SEA
1-322,calm,258,CALM
1-323,rough(2),259,ROUGH (OF SEA)
1-324,the foam,1768,FOAM
1-329,the ocean,645,OCEAN
1-33,the lake,624,LAKE
1-34,the bay,663,BAY
1-341,the lagoon,623,LAGOON
1-342,the reef,660,REEF
1-343,the cape,1662,CAPE
1-35,the wave,978,WAVE
1-352,the tide,891,TIDE
1-353,the low tide,1026,LOW TIDE
1-354,the high tide,613,HIGH TIDE
1-36,the river or stream,666,RIVER
1-362,the whirlpool,1982,WHIRLPOOL
1-37,the spring or well,2144,SPRING OR WELL
1-38,the swamp,1145,SWAMP
1-39,the waterfall,943,WATERFALL
1-41,the woods or forest,420,FOREST
1-43,the wood,1803,WOOD
1-44,the stone or rock,2125,STONE OR ROCK
1-45,the earthquake,6,EARTHQUAKE
1-51,the sky,1732,SKY
1-52,the sun,1343,SUN
1-53,the moon,1313,MOON
1-54,the star,1430,STAR
1-55,the lightning,1654,LIGHTNING
1-56,the thunder,1150,THUNDER
1-57,the bolt of lightning,2007,BOLT (OF LIGHTNING)
1-58,the storm,858,STORM
1-59,the rainbow,1733,RAINBOW
1-61,the light,630,LIGHT (RADIATION)
1-62,the darkness,11,DARKNESS
1-63,the shade or shadow,1388,SHADE
1-64,the dew,1977,DEW
1-71,the air,27,AIR
1-72,the wind,960,WIND
1-73,the cloud,1489,CLOUD
1-74,the fog,249,FOG
1-75,the rain,658,RAIN (PRECIPITATION)
1-76,the snow,784,SNOW
1-77,the ice,617,ICE
1-78,the weather,952,WEATHER
1-81,the fire,221,FIRE
1-82,the flame,889,FLAME
1-83,the smoke,778,SMOKE (EXHAUST)
1-84,the ash,646,ASH
1-841,the embers,67,EMBERS
1-851,to burn(1),141,BURN (SOMETHING)
1-852,to burn(2),1428,BURNING
1-86,to light,737,LIGHT (IGNITE)
1-861,to extinguish,127,EXTINGUISH
1-87,the match,1133,MATCH
1-88,the firewood,10,FIREWOOD
1-89,the charcoal,1188,CHARCOAL
2-1,the person,683,PERSON
2-21,the man,1554,MAN
2-22,the woman,962,WOMAN
2-23,male(1),2261,MALE (OF PERSON)
2-24,female(1),2260,FEMALE (OF PERSON)
2-25,the boy,1366,BOY
2-251,the young man,76,YOUNG MAN
2-26,the girl,1646,GIRL
2-261,the young woman,77,YOUNG WOMAN
2-27,the child(1),1304,CHILD (YOUNG HUMAN)
2-28,the baby,1289,BABY
2-31,the husband,1200,HUSBAND
2-32,the wife,1199,WIFE
2-33,to marry,203,MARRY
2-34,the wedding,1259,WEDDING
2-341,the divorce,1134,DIVORCE
2-35,the father,1217,FATHER
2-36,the mother,1216,MOTHER
2-37,the parents,505,PARENTS
2-38,the married man,424,MARRIED MAN
2-39,the married woman,426,MARRIED WOMAN
2-41,the son,1620,SON
2-42,the daughter,1357,DAUGHTER
3-662,the porpoise or dolphin,1479,DOLPHIN
2-43,the child(2),1801,CHILD (DESCENDANT)
2-44,the brother,1262,BROTHER
2-444,the older brother,1759,OLDER BROTHER
2-445,the younger brother,1760,YOUNGER BROTHER
2-45,the sister,1263,SISTER
2-454,the older sister,1758,OLDER SISTER
2-455,the younger sister,1761,YOUNGER SISTER
2-456,the sibling,1640,SIBLING
2-458,the twins,1005,TWINS
2-46,the grandfather,1383,GRANDFATHER
2-461,the old man,406,OLD MAN
2-47,the grandmother,1496,GRANDMOTHER
2-471,the old woman,907,OLD WOMAN
2-48,the grandson,1618,GRANDSON
2-49,the granddaughter,1619,GRANDDAUGHTER
2-51,the uncle,1327,UNCLE
2-511,the mother's brother,1984,MOTHER'S BROTHER
2-512,the father's brother,1985,FATHER'S BROTHER
2-52,the aunt,1272,AUNT
2-521,the mother's sister,171,MOTHER'S SISTER
2-522,the father's sister,170,FATHER'S SISTER
2-53,the nephew,1063,NEPHEW
2-54,the niece,1642,NIECE
2-55,the cousin,1643,COUSIN
2-56,the ancestors,1669,ANCESTORS
2-57,the descendants,490,DESCENDANTS
2-61,the father-in-law (of a man),2255,FATHER-IN-LAW (OF MAN)
2-611,the father-in-law (of a woman),2254,FATHER-IN-LAW (OF WOMAN)
2-62,the mother-in-law (of a man),2257,MOTHER-IN-LAW (OF MAN)
