Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
(	NULL				(
)	NULL				)
1	NULL				1
2	NULL				2
F	NULL				F
M	NULL				M
^	NULL				^
á	á	k’ám pay, háš pay	Gawwada	2	\xe1
í	í	kawwaʕko ʔí=paqa, ʔí=tarɗi	Gawwada	15	\xed
ú$	ú	ye=ʔawšú, ye=šaʔú	Gawwada	3	\xfa $
k’	kʼ	k’ork’orro			k \u2019
t’	tʼ	mart’aat’aʕako			t \u2019
^k’	kʼ	k’ace			^ k \u2019
^t’	tʼ	t’oonaqo			^ t \u2019
-	+	ʔí=ɓoq-q-i, kaʕas-ay	Gawwada	3	-
=	+	taatte=pa taattite, ye=ʔawšú	Gawwada	26	=
^=	+	Err:509	Gawwada	5	^ =
aa	aː	sikaapa, kaarko	Gawwada	158	a a
ee	eː	šeek, heet’a	Gawwada	71	e e
ii	iː	piir, miinatte	Gawwada	26	i i
oo	oː	ʔooy, ʔoošakko	Gawwada	77	o o
uu	uː	muunt’o, kuute	Gawwada	21	u u
ee$	eː	ʔee	Gawwada	1	e e $
’	<?>	k’ork’orro, k’arat’t’o	Gawwada	66	\u2019
’$	<?>	feet’, kuut’	Gawwada	2	\u2019 $
ʔ	ʔ	miʔaye, mahnaʔa	Gawwada	48	\u0294
ʕ	ʕ	kuyaʕko kaʕasay, ɠuʕakko	Gawwada	67	\u0295
ʔ$	ʔ	meʔ, hiʔ	Gawwada	7	\u0294 $
ʕ$	ʕ	haʕ, ʔooʕ	Gawwada	14	\u0295 $
^ʔ	ʔ	ʔašša, ʔakki	Gawwada	174	^ \u0294
^ʕ	ʕ	ʕaško, ʕaɗunko	Gawwada	34	^ \u0295
š	ʃ	ʕaško, hašitto	Gawwada	66	\u0161
^š	ʃ	šeek, šullo	Gawwada	45	^ \u0161
š$	ʃ	ʔooš, xaš	Gawwada	15	\u0161 $
ʤ	dʒ	maʤammariya	Gawwada	1	\u02a4
_	_	miʔaye ʕasito, ʔille na=sooʕa	Gawwada	71	_
a	a	kuyaʕko kaʕasay, takkaya	Gawwada	844	a
a$	a	sikaapa, takkaya	Gawwada	147	a $
ɓ	ɓ	xaɓo, šaamɓo	Gawwada	7	\u0253
^ɓ	ɓ	ɓaɗ, ɓoqqos	Gawwada	2	^ \u0253
ɓ$	ɓ	tuɓ	Gawwada	1	\u0253 $
c	c	qurcumcimitte, minne caaqete	Gawwada	15	c
^c	c	caqqale, cikaɗ	Gawwada	12	^ c
ɗ	ɗ	ʕaɗunko, ɠaɗo	Gawwada	42	\u0257
^ɗ	ɗ	ɗinis, ɗamma	Gawwada	30	^ \u0257
ɗ$	ɗ	koɗ, waaɗ	Gawwada	46	\u0257 $
e	e	miʔaye ʕasito, leʕʕo	Gawwada	82	e
e$	e	piye, ʔaspitte	Gawwada	323	e $
f	f	haafakko, marfe	Gawwada	30	f
^f	f	farto, filme	Gawwada	14	^ f
f$	f	raf, ʕaf	Gawwada	6	f $
ɠ	ɠ	harɠo, nuɠa	Gawwada	9	\u0260
^ɠ	ɠ	ɠuʕakko, ɠap	Gawwada	24	^ \u0260
ɠ$	ɠ	šiɠ, hiɠ	Gawwada	3	\u0260 $
h	h	mahnaʔa, xaha	Gawwada	54	h
ħ	ħ	kawwaʕko ʔí=ħeereʔi, ʔikaħko	Gawwada	2	\u0127
^h	h	hammakko, heet’a	Gawwada	98	^ h
