Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
ˇ	NULL	hũˇyʔah, hũˇt	Hup	10	\u02c7
^	NULL				^
-		d’oʔ-, hipãh-	Hup	389	-
ã	ã	hipãh-, tãʔã´y yud	Hup	62	\xe3
ç	ç	pǎç mɔy, paç náŋ	Hup	2	\xe7
ẽ	ẽ	cẽ´	Hup	1	\u1ebd
ĩ	ĩ	b’ǒyopʔĩh, kĩkĩn-	Hup	27	\u0129
õ	õ	ʔõ´ci	Hup	1	\xf5
ũ	ũ	d’apũh nihũ´ʔ, tũhũ´ʔ ni-	Hup	49	\u0169
ã$	ã	macã-	Hup	1	\xe3 $
ã´	ã´/ã	hã´wɨg, hɔ̃´w’	Hup	3	\xe3 \xb4
æ̃	æ̃	yæ̃wæ̃c-, tæ̃´h	Hup	50	\xe6 \u0303
ç$	ç	g’ǎç, pə̌ç	Hup	18	\xe7 $
ɨ̃	ɨ̃	hɨ̃m’ǽ, j’ɨ̃j’ɨ̃´p	Hup	15	\u0268 \u0303
ĩ´	ĩ´/ĩ				\u0129 \xb4
ɔ̃	ɔ̃	pɔ̃pɔ̃´h, tɔ̃´h	Hup	45	\u0254 \u0303
õ´	õ´/õ				\xf5 \xb4
ũ$	ũ	hicũ-	Hup	1	\u0169 $
ũ´	ũ´/ũ				\u0169 \xb4
ãˇ$	ãˇ/ã	pãˇ	Hup	1	\xe3 \u02c7 $
æ̃´	æ̃´/æ̃	tæ̃´h, tɔ̃´h	Hup	12	\xe6 \u0303 \xb4
ẽ´$	ẽ´/ẽ				\u1ebd \xb4 $
ɨ̃´	ɨ̃´/ɨ̃				\u0268 \u0303 \xb4
ɔ̃$	ɔ̃	teg hɔ̃, teghɔ̃-	Hup	4	\u0254 \u0303 $
ɔ̃´	ɔ̃´/ɔ̃				\u0254 \u0303 \xb4
ɔ̃ˇ	ɔ̃ˇ/ɔ̃	yɔ̃ˇhwɨg	Hup	1	\u0254 \u0303 \u02c7
ũ´$	ũ´/ũ	hũ´, teghɔ̃´	Hup	3	\u0169 \xb4 $
ɔ̃´$	ɔ̃´/ɔ̃				\u0254 \u0303 \xb4 $
b’	b’				b \u2019
c’	cʼ				c \u2019
d’	d’				d \u2019
g’	g’				g \u2019
j’	ɟ’				j \u2019
m’	m’				m \u2019
n’	n’				n \u2019
w’	w’				w \u2019
y’	j’				y \u2019
^b’	b’				^ b \u2019
^c’	cʼ				^ c \u2019
^d’	d’				^ d \u2019
^g’	g’				^ g \u2019
^j’	ɟ’				^ j \u2019
^m’	m’				^ m \u2019
^n’	n’				^ n \u2019
^p’	pʼ				^ p \u2019
^w’	w’				^ w \u2019
^y’	j’				^ y \u2019
b’$	b’				b \u2019 $
n’$	n’				n \u2019 $
w’$	w’				w \u2019 $
ʔ	ʔ	pæ̃ʔǽy’, tãʔáy	Hup	106	\u0294
ʔ$	ʔ	d’oʔ-, bɨʔ-	Hup	149	\u0294 $
^ʔ	ʔ	ʔɨ́d, ʔɨ́n	Hup	78	^ \u0294
ǝ	ə	pǝpə́dteg, báb’d’ǝh	Hup	85	\u01dd
ə́	ə́/ə	pǝpə́dteg, cə́g	Hup	31	\u0259 \u0301
ə̌	ə̌/ə	w’ə̌t, pə̌ç	Hup	21	\u0259 \u030c
ŋ	ŋ	haŋcɔw-, hæ̌ŋyɨʔ	Hup	7	\u014b
ŋ$	ŋ	náŋ, mɨnɨ́ŋ	Hup	18	\u014b $
_	_	teg hɔ̃, páy bɨʔ-	Hup	139	_
a	a	cadakǎʔ, kawádu	Hup	197	a
á	á/a	kawádu, báb’	Hup	115	\xe1
ǎ	ǎ/a	cadakǎʔ, g’ǎç	Hup	44	\u01ce
a$	a	d’oʔkawa-, ʔóra	Hup	32	a $
á$	á/a	pá, kadawá	Hup	8	\xe1 $
æ	æ	wædhɔ́, kæmæm-	Hup	65	\xe6
ǽ	ǽ/æ	pæ̃ʔǽy’, tæ̃hʔǽm	Hup	12	\u01fd
ǽ	ǽ/æ				\xe6 \u0301
æ̌	æ̌/æ	wæ̌db’ɔk, næ̌m	Hup	36	\xe6 \u030c
æ$	æ	bɨʔnæ-, tɨhdóʔ tæ	Hup	4	\xe6 $
ǽ$	ǽ/æ	hɨ̃m’ǽ, wɔ̃ʔdǽ	Hup	7	\u01fd $
