Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
__	NULL	ben - t - a, ta - kil	Ket	7	_ _
-	+	t-a-b-et, ben - t – a	Ket	17	-
əə	əː	səət, təəl	Ket	3	\u0259 \u0259
ŋŋ	ŋː	eŋŋuŋbers, eŋŋuŋ	Ket	2	\u014b \u014b
aa	aː	daan, saan	Ket	19	a a
bb	bː	qibbat, qibbamaŋ	Ket	4	b b
dd	dː	uddiŋ, uddiŋs	Ket	3	d d
ii	iː	siis, siisto	Ket	6	i i
kk	kː	sukkit, ekkinna boˀk	Ket	7	k k
ll	ɮː	halloj, allel	Ket	4	l l
mm	mː	ammas	Ket	1	m m
nn	nː	ekkinna boˀk, tanno	Ket	7	n n
oo	oː	qoos, qooj	Ket	4	o o
pp	pː	oppas, hɯppas	Ket	2	p p
qq	qː	aqqot	Ket	1	q q
ss	sː	bissajdo, assel	Ket	11	s s
tt	tː	ittas, battat	Ket	8	t t
uu	uː	ēɣ suul, duut	Ket	9	u u
əə$	əː	həə, səə	Ket	6	\u0259 \u0259 $
ɯɯ$	ɯː	sɯɯ	Ket	1	\u026f \u026f $
^əə	əː	əəntet, əət	Ket	3	^ \u0259 \u0259
^ɯɯ	ɯː	ɯɯltə, ɯɯt	Ket	3	^ \u026f \u026f
^aa	aː	aal, aaŋ	Ket	3	^ a a
^ee	eː	eeboks	Ket	1	^ e e
^oo	oː	oolɢat, ooŋ	Ket	2	^ o o
^uu	uː	uul	Ket	1	^ u u
ii$	iː	tii, bii	Ket	2	i i $
oo$	oː	qoo	Ket	1	o o $
uu$	uː	huu	Ket	1	u u $
^əə$	əː	əə	Ket	1	^ \u0259 \u0259 $
^ii$	iː	ii	Ket	2	^ i i $
^uu$	uː	uu	Ket	2	^ u u $
əˀ	əˀ	dəˀq, təˀq	Ket	16	\u0259 \u02c0
ɯˀ	ɯˀ	hɯˀj, sɯˀk	Ket	8	\u026f \u02c0
aˀ	aˀ	baˀŋ, laˀm	Ket	31	a \u02c0
eˀ	eˀ	beˀp, beˀs	Ket	25	e \u02c0
iˀ	iˀ	tiˀŋ, kiˀs	Ket	6	i \u02c0
oˀ	oˀ	boˀk, qoˀj	Ket	23	o \u02c0
uˀ	uˀ	duˀp, quˀs	Ket	10	u \u02c0
əˀ$	əˀ	təˀ	Ket	1	\u0259 \u02c0 $
ɯˀ$	ɯˀ	dɯˀ	Ket	1	\u026f \u02c0 $
^əˀ	əˀ	əˀl, əˀk	Ket	3	^ \u0259 \u02c0
^ɯˀ	ɯˀ	ɯˀk	Ket	1	^ \u026f \u02c0
^aˀ	aˀ				^ a \u02c0
^eˀ	eˀ	eˀp, eˀk	Ket	3	^ e \u02c0
^iˀ	iˀ	iˀl, iˀs	Ket	6	^ i \u02c0
^oˀ	oˀ	oˀn	Ket	2	^ o \u02c0
^uˀ	uˀ	uˀt	Ket	1	^ u \u02c0
eˀ$	eˀ	deˀ, taɣəm eˀ	Ket	3	e \u02c0 $
iˀ$	iˀ	doŋamas iˀ, dɯnamas iˀ	Ket	10	i \u02c0 $
oˀ$	oˀ	qoˀ	Ket	1	o \u02c0 $
uˀ$	uˀ	duˀ, kuˀ	Ket	2	u \u02c0 $
^eˀ$	eˀ	eˀ	Ket	1	^ e \u02c0 $
^iˀ$	iˀ	iˀ	Ket	3	^ i \u02c0 $
ə	ə	həlin, dəqŋ	Ket	79	\u0259
