Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
ã	ã	hãq’q’ana, ʔãʔũ	Bezhta	6	\xe3
ẽ	ẽ	kẽyã, bat’a -ẽye-	Bezhta	18	\u1ebd
ĩ	ĩ	yĩza, hĩxɬ-	Bezhta	2	\u0129
õ	õ	yõsoqan, hõsna	Bezhta	14	\xf5
ũ	ũ	hũca, hũɬlaɬ	Bezhta	7	\u0169
^ã	ã	-ãsa-, ãq’	Bezhta	14	^ \xe3
^ẽ	ẽ	-ẽye-, -ẽɬeyo	Bezhta	16	^ \u1ebd
^ĩ	ĩ	-ĩze-, -ĩso-	Bezhta	12	^ \u0129
^õ	õ	-õso-, õx gähiyo	Bezhta	16	^ \xf5
^ũ	ũ	-ũco-, -ũcola-	Bezhta	2	^ \u0169
äᵑ	æ̃	ʔäᵑʔäᵑla-	Bezhta	2	\xe4 \u1d51
ã$	ã	kẽyã, c’ãʔã	Bezhta	4	\xe3 $
ẽ$	ẽ	hẽ	Bezhta	1	\u1ebd $
ĩ$	ĩ	hĩ	Bezhta	1	\u0129 $
ī$	ī	q’ī, kalaɣas q’ī	Bezhta	2	\u012b $
öᵑ	œ̃	yöᵑtö, höᵑššöna	Bezhta	3	\xf6 \u1d51
üᵑ	ỹ	k’äy -üᵑxö-, k’äy -üᵑxöl-	Bezhta	2	\xfc \u1d51
ũ$	ũ	ʔãʔũ	Bezhta	1	\u0169 $
^äᵑ	æ̃	äᵑydā, äᵑydǟ	Bezhta	16	^ \xe4 \u1d51
^öᵑ	œ̃	öᵑq’önä, öᵑq”öbuƛ’o	Bezhta	2	^ \xf6 \u1d51
üᵑ$	ỹ	ɬüᵑ	Bezhta	1	\xfc \u1d51 $
č’	tʃʼ	ič’ey			\u010d \u2019
c’	tsʼ	c’ac’aka			c \u2019
k’	kʼ	č’ink’ilɬi			k \u2019
ƛ’	tɬʼ	zoƛ’o			\u019b \u2019
p’	pʼ	p’äp’älö			p \u2019
q”	qʼ	-õq”o-, öᵑq”öbuƛ’o	Bezhta	2	q \u201d
q’	qʼ	aq’o y-ẽƛe-			q \u2019
t’	tʼ	it’ino is			t \u2019
^č’	tʃʼ	č’ink’ilɬi			^ \u010d \u2019
^c’	tsʼ	c’uyab			^ c \u2019
^k’	kʼ	k’ado-miqā			^ k \u2019
^ƛ’	tɬʼ	ƛ’alo			^ \u019b \u2019
^p’	pʼ	p’äp’älö			^ p \u2019
^t’	tʼ	t’axe			^ t \u2019
č’$	tʃʼ	müč’			\u010d \u2019 $
ƛ’$	tɬʼ	raƛ’			\u019b \u2019 $
t’$	tʼ	t’ot’			t \u2019 $
-	+	-ow-, -ox-	Bezhta	568	-
ā	aː	xosdāɬi, halaɬcolāq	Bezhta	14	\u0101
ǟ	æː	ƛ’ǟna, müɣättǟš	Bezhta	11	\u01df
ī	iː	nīyo	Bezhta	1	\u012b
ō	oː	k’ok’ōɬi, nukōɬi	Bezhta	6	\u014d
ȭ	õː	büwähȭɬi	Bezhta	1	\u022d
^ī	iː	-īqo-	Bezhta	1	^ \u012b
ā$	aː	niq’ā, cixā	Bezhta	16	\u0101 $
ǟ$	æː	mǟ, xöwǟ-	Bezhta	6	\u01df $
ii	iː	-äᵑčiic’l-	Bezhta	1	i i
ō$	oː	q’ō, kō	Bezhta	6	\u014d $
oo	oː	käčeɬiyooɬi	Bezhta	1	o o
