Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
…$	NULL	-wa na …, -kaa na …	Swahili	2	\u2026 $
-	+	-refu, -funga	Swahili	512	-
aa	aː	-laani, maawio	Swahili	9	a a
ii	iː	kiini cha yai	Swahili	1	i i
oo	oː	-nyooka	Swahili	1	o o
uu	uː	muungwana	Swahili	1	u u
aa$	aː	-kaa, jamaa	Swahili	35	a a $
ee$	eː	mzee, pekee	Swahili	4	e e $
ii$	iː	-tii, -jamii	Swahili	3	i i $
oo$	oː	kioo, koo	Swahili	16	o o $
uu$	uː	juu, mjukuu	Swahili	19	u u $
ng’	ŋ	ng’ombe, -ng’aa	Swahili	7	n g \u2019
^ng’	ŋ				^ n g \u2019
ch	tʃ	chakula cha mchana, -acha	Swahili	59	c h
sh	ʃ	mwisho, beleshi	Swahili	53	s h
^ch	tʃ	chini, chawa	Swahili	79	^ c h
^sh	ʃ	shangazi, -shika	Swahili	39	^ s h
j	dʒ	mjukuu, mjomba	Swahili	92	j
^J	J/dʒ	Jumapili, Jumatatu	Swahili	5	^ J
^j	dʒ	juu, jani	Swahili	63	^ j
nj	ⁿdʒ				n j
^nj	ⁿdʒ				^ n j
_	_	mwana wa kambo, majira ya kupukutika kwa majani	Swahili	164	_
a	a	mwana wa kambo, majira ya kupukutika kwa majani	Swahili	1002	a
^A	A/a	Alhamisi	Swahili	1	^ A
^a	a	-acha, -amka	Swahili	43	^ a
a$	a	mwana, mkubwa	Swahili	725	a $
b	ɓ	-embamba, mjomba	Swahili	211	b
^B	B/ɓ	Bukini, Buki	Swahili	2	^ B
^b	ɓ	baba, bahari	Swahili	87	^ b
mb	ⁿb				m b
^mb	ⁿb				^ m b
d	ɗ	ndugu, mdogo	Swahili	158	d
^d	ɗ	dada, duara	Swahili	30	^ d
dh	ð	-hifadhi, fedha	Swahili	10	d h
nd	ⁿd				n d
^dh	ð	dhahabu, dhaifu	Swahili	11	^ d h
^nd	ⁿd				^ n d
e	e	ukelele, kelele	Swahili	316	e
^e	e	-elea, -embamba	Swahili	22	^ e
e$	e	mkwe, yeye	Swahili	127	e $
f	f	-refu, mafuta	Swahili	77	f
^f	f	-funga, -fupi	Swahili	58	^ f
g	ɠ	ndugu, mdogo	Swahili	260	g
^g	ɠ	-gawanya, -gumu	Swahili	31	^ g
gh	ɣ	lugha, magharibi	Swahili	3	g h
ng	ⁿg				n g
^gh	ɣ	ghuba, ghali	Swahili	2	^ g h
^ng	ⁿg				^ n g
h	h	rahisi, bahari	Swahili	57	h
^H	H/h	Hindi	Swahili	1	^ H
^h	h	-hifadhi, haraka	Swahili	47	^ h
i	i	miali ya kaskazini ya dunia, -fikiri	Swahili	672	i
^I	I/i	Ijumaa	Swahili	1	^ I
^i	i	-inua, -ita	Swahili	19	^ i
i$	i	chini, jani	Swahili	480	i $
y	j	unyoya, yeye	Swahili	125	y
^y	j	yeye, yule yule	Swahili	10	^ y
k	k	mkubwa, kaka	Swahili	295	k
^k	k	kaka, -kaa	Swahili	250	^ k
k$	k	sheik	Swahili	1	k $
l	l	ukelele, kelele	Swahili	212	l
^l	l	-laani, -lala	Swahili	28	^ l
m	m	-embamba, umeme	Swahili	356	m
^M	M/m	Mola, Manga	Swahili	2	^ M
^m	m	mkwe, mdogo	Swahili	275	^ m
n	n	mwana, konokono	Swahili	525	n
^n	n	ndugu, njaa	Swahili	122	^ n
