ID,WOLD_ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
Swahili,1,Swahili,,-6.5,39.0,swah1253,swh
Iraqw,2,Iraqw,,-4.0,35.5,iraq1241,irk
Gawwada,3,Gawwada,,5.5,37.25,gaww1239,gwd
Hausa,4,Hausa,,12.0,7.0,haus1257,hau
Kanuri,5,Kanuri,,12.0,13.0,cent2050,knc
TarifiytBerber,6,Tarifiyt Berber,,34.5,-4.0,tari1263,rif
SeychellesCreole,7,Seychelles Creole,,-4.75,55.5,sese1246,crs
Romanian,8,Romanian,,46.0,25.0,roma1327,ron
SeliceRomani,9,Selice Romani,,48.091,17.9609,west2376,
LowerSorbian,10,Lower Sorbian,,51.75,14.3333,lowe1385,dsb
OldHighGerman,11,Old High German,,50.55,9.68333,oldh1241,
Dutch,12,Dutch,,52.5,6.0,dutc1256,nld
English,13,English,,52.0,0.0,stan1293,eng
KildinSaami,14,Kildin Saami,,67.0,37.0,kild1236,sjd
Bezhta,15,Bezhta,,42.0833,46.1667,bezh1248,kap
Archi,16,Archi,,42.0,46.8333,arch1244,aqc
Manange,17,Manange,,28.0,84.25,mana1288,nmm
Ket,18,Ket,,64.0,87.0,kett1243,ket
Sakha,19,Sakha,,62.0,130.0,yaku1245,
Oroqen,20,Oroqen,,51.2829,126.111,oroq1238,orh
Japanese,21,Japanese,,37.0,140.0,nucl1643,jpn
MandarinChinese,22,Mandarin Chinese,,34.0,110.0,mand1415,cmn
Thai,23,Thai,,16.0,101.0,thai1261,tha
Vietnamese,24,Vietnamese,,10.5,106.5,viet1252,vie
WhiteHmong,25,White Hmong,,26.0,105.0,hmon1333,mww
CeqWong,26,Ceq Wong,,3.8807,102.456,chew1245,cwg
Indonesian,27,Indonesian,,0.0,106.0,indo1316,ind
Malagasy,28,Malagasy,,-20.0,47.0,plat1254,plt
Takia,29,Takia,,-4.66667,146.0,taki1248,tbc
Hawaiian,30,Hawaiian,,19.5833,-155.5,hawa1245,haw
Gurindji,31,Gurindji,,-17.6667,130.667,guri1247,gue
Yaqui,32,Yaqui,,27.5,-110.25,yaqu1251,yaq
