Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
l$	l	ʃirkul, ukul-	Oroqen	21	l $
m	m	amalan, tama-	Oroqen	133	m
^m	m	mɔ:, mayman	Oroqen	56	^ m
m$	m	ə:m, um-	Oroqen	12	m $
n	n	inəŋ dulin nuktʃitʃə, umun nandar	Oroqen	148	n
ɲ	ɲ	əɲəkə, iɲə-	Oroqen	18	\u0272
^n	n	nəkə-, nɔ:nin	Oroqen	40	^ n
^ɲ	ɲ	ɲɪray, ɲɪrayɪkan	Oroqen	23	^ \u0272
n$	n	ukun, ʃa:wukanan	Oroqen	322	n $
o	o	toŋgorin, moŋwon	Oroqen	10	o
ɔ	ɔ	ʃɔgdɔnɔ, dɔkɔlɔn-	Oroqen	86	\u0254
^o	o	olbot-, oŋko:	Oroqen	4	^ o
^ɔ	ɔ	ɔrbɔnik, ɔgtɔ	Oroqen	17	^ \u0254
o$	o	tʃuto, mo:ro-	Oroqen	5	o $
ɔ$	ɔ	kɔtɔ, ʃɔgdɔnɔ	Oroqen	38	\u0254 $
p	p	lʊpkʊptɪn, guruptən	Oroqen	47	p
^p	p	pəykələ:-, pʊtʃa-	Oroqen	9	^ p
p$	p	ʃi:p, ʃɪrʊp	Oroqen	3	p $
r	r	tur urtərgətʃə, ʃarbakta	Oroqen	263	r
r$	r	ulgur, tar-	Oroqen	41	r $
s	s	dɔ:sun	Oroqen	1	s
^s	s	suytan, sʊlakɪ	Oroqen	4	^ s
t	t	ʃarbakta, dɪlatʃa tiktəkəki	Oroqen	155	t
^t	t	tama-, tʊkʃakɪ	Oroqen	107	^ t
t$	t	tat-, tət-	Oroqen	9	t $
u	u	wurumkun, umun duru-tʃi	Oroqen	265	u
^u	u	ulgur, ukun	Oroqen	85	^ u
u$	u	ənuku, guntʃulu	Oroqen	56	u $
w	w	ʃa:wukanan, kawukɛ:wuptɪla bəyə	Oroqen	70	w
^w	w	wurumkun, wa:-	Oroqen	11	^ w
w$	w	dʒalaw, tu:dəw	Oroqen	3	w $
x	x	ərəxəltɛ:-, uyəpdilə axɪ	Oroqen	4	x
y	y	mayman, dʒu:layi yabʊran	Oroqen	87	y
^y	y	yakʃiŋki, yɔ:ʃi	Oroqen	21	^ y
y$	y	ɲɪray, uyəpdilə ɲɪray	Oroqen	6	y $
z	z	toŋzər	Oroqen	1	z
ŋʃ	ŋ ʃ	dəŋʃələ:-	Oroqen	1	\u014b \u0283
ŋw	ŋ w	moŋwon	Oroqen	1	\u014b w
gw	g w	wɔgwɔ	Oroqen	1	g w
hw	h w	dahwitaŋ	Oroqen	1	h w
^kw	k w	kwaŋ	Oroqen	1	^ k w
nʃ	n ʃ	dʒünʃi	Oroqen	1	n \u0283
