Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
ɨ̄	ɨ̄	pɨ̄nnej	Kildin Saami	1	\u0268 \u0304
rh	r̥	jorhttelle, pārrhk	Kildin Saami	20	r h
ž’	ʒ’				\u017e \u2019
-	+	čuarr-piell’, mēnn-vier’t	Kildin Saami	127	-
^=	+	#NAME?	Kildin Saami	1	^ =
ā	ā/aː	tāgke, kārr’	Kildin Saami	164	\u0101
ē	ē/eː	šēnnte, kērr	Kildin Saami	91	\u0113
ī	ī/iː	nījjt, mīllves’	Kildin Saami	81	\u012b
ō	ō/oː	lōgke, pōdešk	Kildin Saami	51	\u014d
ū	ū/uː	vūjjk, rūvv’t	Kildin Saami	171	\u016b
ŋŋ	ŋː	roaŋŋ’k, tieŋŋ’k	Kildin Saami	28	\u014b \u014b
^ā	ā/aː	ājjev, āka	Kildin Saami	18	^ \u0101
^ē	ē/eː	ēxxte, ēllmannt	Kildin Saami	11	^ \u0113
^ī	ī/iː	īŋŋk, īvvče	Kildin Saami	5	^ \u012b
^ō	ō/oː	ōxxte, ōllk	Kildin Saami	4	^ \u014d
^ū	ū/uː	ūdles’	Kildin Saami	1	^ \u016b
bb	bː	ābb’r	Kildin Saami	1	b b
čč	tʃː	pɨččker, koččex	Kildin Saami	7	\u010d \u010d
cc	tsː	kēccke, njūcck	Kildin Saami	9	c c
dd	dː	ladd’v, kiedd’k	Kildin Saami	3	d d
ē	ē/eː				e \u0304
ē$	ē/eː	kē	Kildin Saami	1	\u0113 $
ff	fː	kōffke, vūffp	Kildin Saami	5	f f
ī	ī/iː				i \u0304
ī$	ī/iː	mī	Kildin Saami	1	\u012b $
jj	jː	vūjjk, piejjv	Kildin Saami	90	j j
kk	kː	oakkše, tuarr-oakkš	Kildin Saami	10	k k
ll	lː	čuarr-piell’, kulle	Kildin Saami	166	l l
mm	mː	njuemmel’, kīmm’n	Kildin Saami	37	m m
nn	nː	vuannče, šēnnte	Kildin Saami	102	n n
pp	pː	app’se, kɨpp’tma	Kildin Saami	14	p p
rr	rː	čuarr-piell’, vierr’	Kildin Saami	115	r r
šš	ʃː	pāšš’te, lūšš’te	Kildin Saami	28	\u0161 \u0161
ss	sː	kuss’k, vuesstle	Kildin Saami	48	s s
tt	tː	jorhttelle, roattkje	Kildin Saami	13	t t
ū	ū/uː				u \u0304
vv	vː	rūvv’t, tievvt	Kildin Saami	71	v v
xx	xː	ōxxte, axxc	Kildin Saami	19	x x
ŋŋ$	ŋː	šēŋŋ, īŋŋ	Kildin Saami	3	\u014b \u014b $
ŋŋ’	ŋʲː				\u014b \u014b \u2019
bb’	bʲː				b b \u2019
cc$	tʃː	kūcc	Kildin Saami	1	c c $
cc’	tʃʲː				c c \u2019
dd’	dʲː				d d \u2019
ff$	fː	joaff, lieff	Kildin Saami	2	f f $
ff’	fʲː				f f \u2019
jj$	jː	sījj, tujj	Kildin Saami	19	j j $
jjh	j̥ː	kɨjjhm, vuejjhtemušš	Kildin Saami	11	j j h
хх’	xʲː				\u0445 \u0445 \u2019
kk’	kʲː				k k \u2019
ll$	lː	kīll, mūrr-ɨll	Kildin Saami	20	l l $
ll’	l’ː				l l \u2019
ll’	lʲː				l l \u2019
llh	l̥ː	kāllht, tollhk	Kildin Saami	12	l l h
mm$	mː	limm, nēmm	Kildin Saami	5	m m $
mm’	mʲː				m m \u2019
