Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
an	ã				a n
en	ɛ̃				e n
ny	j̃				n y
on	ɔ̃				o n
^an	ã				^ a n
^en	ɛ̃				^ e n
^ny	j̃				^ n y
^on	ɔ̃				^ o n
an$	ã				a n $
en$	ɛ̃				e n $
on$	ɔ̃				o n $
-	+	tranbleman-d-ter, anvwa-d-famiy	Seychelles Creole	16	-
aa	aː	laas, laans	Seychelles Creole	2	a a
ar	aː				a r
ee	eː	speech	Seychelles Creole	1	e e
er	ɛː				e r
or	ɔː				o r
^ar	aː				^ a r
^er	ɛː				^ e r
^or	ɔː				^ o r
ar$	aː				a r $
er$	ɛː				e r $
ir$	iː				i r $
or$	ɔː				o r $
our	uː				o u r
our$	uː				o u r $
ng	ŋ				n g
ng$	ŋ				n g $
ch	tʃ	poncho	Seychelles Creole	1	c h
^sh	ʃ	shelf	Seychelles Creole	1	^ s h
ch$	tʃ	speech	Seychelles Creole	1	c h $
_	_	kan kok maron, pti frer	Seychelles Creole	125	_
a	a	larzan, madanm	Seychelles Creole	1162	a
^a	a	anmennen, avek	Seychelles Creole	106	^ a
a$	a	anba, lestoma	Seychelles Creole	87	a $
b	b	laboure, anba anba	Seychelles Creole	111	b
^b	b	belfiy, boper	Seychelles Creole	159	^ b
b$	b	bib, letab	Seychelles Creole	17	b $
c	c	mice	Seychelles Creole	1	c
^c	c	countryside	Seychelles Creole	1	^ c
d	d	madanm, ride	Seychelles Creole	126	d
^d	d	dizef, dan	Seychelles Creole	122	^ d
d$	d	rid, koud	Seychelles Creole	23	d $
e	e	leker, anmennen	Seychelles Creole	889	e
^e	e	ek, entelizan	Seychelles Creole	31	^ e
e$	e	laboure, krose	Seychelles Creole	446	e $
^e$	e	e	Seychelles Creole	1	^ e $
f	f	belfiy, bofis	Seychelles Creole	88	f
^f	f	four, for	Seychelles Creole	103	^ f
f$	f	dizef, serf	Seychelles Creole	22	f $
g	g	sagren, lager	Seychelles Creole	70	g
r	ɣ	gran frer, laboure	Seychelles Creole	543	r
^g	g	grate, gele	Seychelles Creole	66	^ g
^r	ɣ	rennyen, roule	Seychelles Creole	69	^ r
g$	g	malang, zong	Seychelles Creole	30	g $
r$	ɣ	boper, kler	Seychelles Creole	202	r $
i	i	pti gin, belfiy	Seychelles Creole	532	i
^i	i	irle, is karang	Seychelles Creole	12	^ i
i$	i	santi, piti	Seychelles Creole	124	i $
iy	i				i y
^i$	i	i	Seychelles Creole	4	^ i $
iy$	i				i y $
y	j	lesyel, riy riye	Seychelles Creole	248	y
^j	j	jug	Seychelles Creole	1	^ j
^y	j	yer	Seychelles Creole	1	^ y
y$	j	belfiy, marmay	Seychelles Creole	62	y $
k	k	lekel ki, leker	Seychelles Creole	172	k
^K	K/k	Kaka zorey	Seychelles Creole	1	^ K
^k	k	krose, kler	Seychelles Creole	189	^ k
k$	k	ek, avek	Seychelles Creole	61	k $
l	l	belfiy, laplim	Seychelles Creole	300	l
^l	l	laboure, laplim	Seychelles Creole	359	^ l
l$	l	mal, poul	Seychelles Creole	90	l $
ll$	l	waterfall	Seychelles Creole	1	l l $
m	m	anmennen, belmer	Seychelles Creole	180	m
^M	M/m	Mous fe	Seychelles Creole	1	^ M
^m	m	madanm, mal	Seychelles Creole	138	^ m
m$	m	madanm, laplim	Seychelles Creole	52	m $
