Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
-	+	mencaci-maki, laki-laki	Indonesian	33	-
aa	aː	pemerkosaan, kegelitaan	Indonesian	9	a a
^oo	oː	oom	Indonesian	1	^ o o
k$	ʔ	naik, masak	Indonesian	170	k $
k{}	ʔ				k { }
ai$	aɪ				a i $
ng	ŋ				n g
^ng	ŋ				^ n g
ng$	ŋ				n g $
c	tʃ	mencaci-maki, kelinci	Indonesian	97	c
^c	tʃ	cabang, cepat	Indonesian	47	^ c
sy	ʃ				s y
^sy	ʃ				^ s y
au$	aʊ				a u $
au{}	aʊ				a u { }
j	dʒ	menjunjung, biji	Indonesian	99	j
^J	J/dʒ	Jum'at	Indonesian	1	^ J
^j	dʒ	jalan, jelék	Indonesian	46	^ j
_	_	musim gugur, emak tiri	Indonesian	124	_
A	A/a				A
a	a	kesalahan, lembaga pemasyarakatan	Indonesian	1904	a
^a	a	angin, ada	Indonesian	70	^ a
a$	a	membawa, meraba	Indonesian	294	a $
b	b	membawa, terlambat	Indonesian	238	b
^b	b	bulan, biji	Indonesian	234	^ b
b$	b	sebab, arnab	Indonesian	8	b $
d	d	tidur, bidadari	Indonesian	193	d
^d	d	di, dalam	Indonesian	61	^ d
d$	d	masjid, murid	Indonesian	5	d $
e	e	memegang, segera	Indonesian	1079	e
é	é/e	kakék-nénék, écék-écék	Indonesian	143	\xe9
^e	e	enggak, engkau	Indonesian	10	^ e
^é	é/e	énténg, écék-écék	Indonesian	4	^ \xe9
e$	e	olive, wine	Indonesian	3	e $
é$	é/e	idé, soré	Indonesian	6	\xe9 $
f	f	telfon, bernafas	Indonesian	5	f
^f	f	famili, flu	Indonesian	4	^ f
g	g	pergelangan tangan, memegang	Indonesian	312	g
^g	g	garpu, gadis	Indonesian	56	^ g
g$	g	memegang, memanggang	Indonesian	217	g $
h	h	kesalahan, melihat	Indonesian	106	h
^h	h	hidup, hawa	Indonesian	37	^ h
h$	h	mentah, tanah	Indonesian	108	h $
^kh	kʰ	khitan	Indonesian	1	^ k h
i	i	lilin, pikir	Indonesian	618	i
I$	i	menghalangI	Indonesian	1	I $
^i	i	injéksi, ikat	Indonesian	32	^ i
i$	i	lelaki, mati	Indonesian	225	i $
y	j	dayung, menyembunyikan	Indonesian	109	y
^y	j	yatim-piatu, yakin	Indonesian	3	^ y
k	k	laki-laki, percékcokan	Indonesian	324	k
^K	K/k	Kamis	Indonesian	1	^ K
^k	k	kesalahan, kutu	Indonesian	228	^ k
l	l	tulang belulang, jalan	Indonesian	365	l
^l	l	lilin, lelaki	Indonesian	88	^ l
l$	l	mengambil, tinggal	Indonesian	65	l $
M	M/m				M
m	m	tanaman merambat, membawa	Indonesian	351	m
^m	m	memegang, membawa	Indonesian	442	^ m
m$	m	tenggelam, menggenggam	Indonesian	59	m $
n	n	pincang, kunang-kunang	Indonesian	997	n
^n	n	naik, nampak	Indonesian	27	^ n
n$	n	jalan, kesalahan	Indonesian	319	n $
nc	ɲ				n c
nj	ɲ				n j
ny	ɲ				n y
^ny	ɲ				^ n y
o	o	pohon, kosong	Indonesian	215	o
^o	o	onta, om	Indonesian	14	^ o
o$	o	romo, separo	Indonesian	15	o $
p	p	sepupu, dapur	Indonesian	204	p
^p	p	pincang, pria	Indonesian	199	^ p
p$	p	hidup, menggarap	Indonesian	36	p $
r	r	terburu-buru, berlari	Indonesian	489	r
