Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
â	â/aː	nâdala, nâtâri	Old High German	68	\xe2
ê	ê/eː	werên, folgên	Old High German	34	\xea
î	î/iː	trîban, enkilîn	Old High German	58	\xee
ô	ô/oː	tarôn, stôzan	Old High German	77	\xf4
û	û/uː	drûbo, scûfla	Old High German	21	\xfb
^â	â/aː	âbandmuos, âla	Old High German	9	^ \xe2
^ê	ê/eː	êristo, êrgesteren	Old High German	2	^ \xea
^î	î/iː	îlen	Old High German	1	^ \xee
^ô	ô/oː	ôrlappa, ôrring	Old High German	4	^ \xf4
^û	û/uː	ûtar, ûfgangan	Old High German	4	^ \xfb
â$	â/aː	wantâ	Old High German	1	\xe2 $
bb	bː	lubbi, ribbi	Old High German	4	b b
dd	dː	feddah, eddeswanne	Old High German	2	d d
ff	fː	pheffur, gioffanôn	Old High German	9	f f
gg	gː	mugga, roggo	Old High German	9	g g
hh	xː	riohhan, nihhus	Old High German	31	h h
î$	î/iː	holî, lârî	Old High German	11	\xee $
kk	kː	hewiskrekko, akkarman	Old High German	6	k k
ll	lː	stilli, zellen	Old High German	16	l l
mm	mː	stimma, gomman	Old High German	5	m m
nn	nː	rennen, mennisco	Old High German	27	n n
ô$	ô/oː	naskô	Old High German	1	\xf4 $
pp	pː	ôrlappa, rippi	Old High German	2	p p
rr	rː	firrâtan, sparro	Old High German	8	r r
ss	sː	finstarnessi, jussal	Old High German	6	s s
tt	tː	bitten, mitti	Old High German	14	t t
û$	û/uː	dû, sû	Old High German	2	\xfb $
zs	tsː	fuozspor, flôzskip	Old High German	2	z s
zz	sː	mezzisahs, krazzôn	Old High German	28	z z
_	_	giboran werdan, wio manage	Old High German	3	_
a	a	bihaltan, nagal	Old High German	517	a
^a	a	ander, ackus	Old High German	40	^ a
a$	a	nâdala, snora	Old High German	171	a $
b	b	trîban, rîbil	Old High German	86	b
^b	b	bitten, bihaltan	Old High German	101	^ b
b$	b	toub, lob	Old High German	17	b $
c	c	sculd, ackus	Old High German	46	c
c$	c	fleisc, tranc	Old High German	15	c $
d	d	nâdala, ander	Old High German	68	d
^d	d	degan, desêr	Old High German	30	^ d
d$	d	sculd, kind	Old High German	20	d $
e	e	zellen, fellen	Old High German	370	e
^e	e	enti, er	Old High German	39	^ e
e$	e	(h)wie, sie	Old High German	9	e $
f	f	pfîfôn, koufen	Old High German	56	f
^f	f	fedara, fleisc	Old High German	93	^ f
f$	f	knopf, tiof	Old High German	21	f $
ph	pf	tuphin, trophôn	Old High German	3	p h
^ph	pf	pheffur, pheffar	Old High German	2	^ p h
ph$	pf	kroph	Old High German	1	p h $
g	g	nagal, reganbogo	Old High German	118	g
^g	g	giozan, graban	Old High German	67	^ g
g$	g	kruog, sâlig	Old High German	40	g $
^h	h	hôh, himil	Old High German	89	^ h
h$	h	weih, ih	Old High German	22	h $
i	i	niowiht, biwerien	Old High German	461	i
^i	i	iz, ir	Old High German	26	^ i
i$	i	enti, kwiti	Old High German	84	i $
^j	j	jagôn, jussal	Old High German	11	^ j
k	k	enkilîn, ackus	Old High German	75	k
^k	k	knopf, koufen	Old High German	59	^ k
k$	k	gidank	Old High German	1	k $
l	l	nâdala, sculd	Old High German	192	l
^l	l	lant, lûs	Old High German	49	^ l
l$	l	nagal, himil	Old High German	54	l $
m	m	zimbarman, himil	Old High German	68	m
