Grapheme	IPA	SCA	LANGUAGES	FREQUENCY	EXAMPLES	CODEPOINTS
^	NULL			11	ellân;ehkan;evtes;eftnalšem;ele	U+005E
$	NULL			247	pāhk’;pueš’en’;vūmm’;liegk’;čāʒ’	U+0024
^a$	a	A	Kildin Saami	1	a	U+005E U+0061 U+0024
^tāxx’t$	t ā/aː xʲː t	T A G T		1	tāxx’t	U+005E U+0074 U+0101 U+0078 U+0078 U+2019 U+0074 U+0024
^jērrh’t-tāxx’t$	j ē/eː r̥ʲː t + t ā/aː xʲː t	J E R T _ T A G T		1	jērrh’t-tāxx’t	U+005E U+006A U+0113 U+0072 U+0072 U+0068 U+2019 U+0074 U+002D U+0074 U+0101 U+0078 U+0078 U+2019 U+0074 U+0024
a	a	A	Kildin Saami	450	ēllmannt;lavv’n;vūntas;poal’a;lagúna	U+0061
á	á/a	A	Kildin Saami	7	ak’eán;kabán;ab’ezjána;batát;plasmás	U+00E1
â	â/a	A	Kildin Saami	1	ellân	U+00E2
ā	ā/aː	A	Kildin Saami	171	kānn’t;čāʒ’;jāvv’r;tivvt_čāʒ’;čāʒ’-čullm	U+0101
а	a	A		12	jēb’eš’-alkа;miedаš;pāljаs;pērrht-ēll’а;njаmm	U+0430
^a	a	A	Kildin Saami	32	ak’eán;aʒ’;all’m;aǯ;all’k	U+005E U+0061
^ā	ā/aː	A	Kildin Saami	18	ābb’r;āka;āka;ājjev;āǯ-piell’	U+005E U+0101
a$	a	A	Kildin Saami	90	poal’a;lagúna;spička;olma;oalmolma	U+0061 U+0024
á$	á/a	A	Kildin Saami	2	m’eds’estrá;pravá	U+00E1 U+0024
f	f	B	Kildin Saami	8	čoafen;sārfann;eftnalšem;toafant;pоаfčas	U+0066
v	v	B	Kildin Saami	86	puarsa_vīllj;nūra_vīll’j;puarsa_vuerr’pen’;nūra_vuerr’pen’;vuerr’pen’_ja_vīlj	U+0076
^f	f	B	Kildin Saami	3	fassel’;fīga;fīga	U+005E U+0066
^v	v	B	Kildin Saami	165	vūntas;vūmm’;vueŋŋk;vūnn;vɨrr	U+005E U+0076
ff	fː	B	Kildin Saami	4	vūffp;puffs;kōffke;cɨffra	U+0066 U+0066
f’	fʲ	B		2	saf’kse;nief’t	U+0066 U+2019
v$	v	B	Kildin Saami	33	kājjv;piejjv;āhkev;ājjev;veazvušk-tārr’v	U+0076 U+0024
vv	vː	B	Kildin Saami	41	tivvt_čāʒ’;pēvvl;čivvras;cɨrmšuvve;pūvvl	U+0076 U+0076
v’	vʲ	B		6	av’tmuss;siev’njes’;av’tmuss_olma;atv’értka;sav’ex’	U+0076 U+2019
^v’	vʲ	B		1	v’elasip’éd	U+005E U+0076 U+2019
ff$	fː	B	Kildin Saami	2	lieff;joaff	U+0066 U+0066 U+0024
ff’	fʲː	B		2	njаff’ke;lāff’k	U+0066 U+0066 U+2019
vv$	vː	B	Kildin Saami	8	čūvv;sūvv;vɨvv;vɨvv;lievv	U+0076 U+0076 U+0024
vv’	vʲː	B		30	lavv’n;njivv’l;jāvv’r;sievv’n;kɨvv’n	U+0076 U+0076 U+2019
ʒ	dz	C	Kildin Saami	4	oaʒe_sājjm;čūʒlemušš;moaʒte;koaʒe	U+0292
ts	ts	C	Kildin Saami	1	kūdtselle	U+0074 U+0073
ʒ$	dz	C	Kildin Saami	1	cɨʒ	U+0292 U+0024
ʒ’	dzʲ	C		10	čāʒ’;cuegk’_ja_aʒ’;tivvt_čāʒ’;aʒ’;čāʒ’-čullm	U+0292 U+2019
e	e	E	Kildin Saami	616	puenn;pueš’en’;pueš’en’;liegk’;liek’š	U+0065
é	é/e	E	Kildin Saami	11	pl’eménihk;pl’eménihk;instrum’ént;batar’éja;priezid’ént	U+00E9
ē	ē/eː	E	Kildin Saami	98	jēmm’n’e;šēŋŋ;nēmmp;jēmm’n’e-pušštnehk’;pēvvl	U+0113
е	e	E		14	līx’еm’-alka;vuеll’k-taхх’t;čāʒ’-koplеgk;vēcckе;kuarrеj	U+0435
ё	ɤ	E	Kildin Saami	1	kijje_mill’te_ёadte	U+0451
^ē	ē/eː	E	Kildin Saami	11	ēllmannt;ēd;ēllne;ēlltne;ēvvtel’	U+005E U+0113
e$	e	E	Kildin Saami	363	jēmm’n’e;čārrke;puell’te;pūll’e;puell’te	U+0065 U+0024
ē$	ē/eː	E	Kildin Saami	1	kē	U+0113 U+0024
x	x	G	Kildin Saami	45	až’xem-jēn’xem;až’xem-jēn’xem;njuxčem’;ruekxe;lexkle	U+0078
^x	x	G	Kildin Saami	2	xozjen’;xam’el’ón	U+005E U+0078
x$	x	G	Kildin Saami	8	piettex;čāpex;or’ex;mācex;tābex	U+0078 U+0024
xx	xː	G	Kildin Saami	17	lūxxt;tōlnjūxxčem’;ruxxk;vɨxxčte;ēxxte	U+0078 U+0078
x’	xʲ	G		8	rōd’x’el’;oar’es’-līx’em’;līx’em’;līx’еm’-alka;rɨbp’ex’	U+0078 U+2019
хх’	xʲː	G		1	vuеll’k-taхх’t	U+0445 U+0445 U+2019
h	h	H	Kildin Saami	80	jēmm’n’e-pušštnehk’;jūm’ehk;oahka;pl’eménihk;pl’eménihk	U+0068
