Grapheme	IPA	SCA	LANGUAGES	FREQUENCY	EXAMPLES	CODEPOINTS
^	NULL		NULL	0		NULL
$	NULL			22	tup’;pech’;sotz’;7uch’;ton_7uch’	U+0024
'_	NULL		Zinacantán Tzotzil	2	ti'__________;nup'_ba	U+0027 U+005F
_$	NULL		Zinacantán Tzotzil	1	jmak-_	U+005F U+0024
____$	NULL		Zinacantán Tzotzil	3	na____;ve`el____;nukulal____	U+005F U+005F U+005F U+005F U+0024
_________$	NULL		Zinacantán Tzotzil	1	ti'__________	U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+0024
____________$	NULL		Zinacantán Tzotzil	3	hay____________;ch’ul____________;chame____________	U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+0024
_______________$	NULL		Zinacantán Tzotzil	1	hay_______________	U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+0024
________________$	NULL		Zinacantán Tzotzil	2	tot________________;me7________________	U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+005F U+0024
a	a	A	Zinacantán Tzotzil	866	balamil;balamil;balamil;balamil;puksat_balamil	U+0061
a$	a	A	Zinacantán Tzotzil	105	luna;7ahval_na;vaca;me7_baka;karsa	U+0061 U+0024
v	v	B	Zinacantán Tzotzil	73	yaleb_vo';me7_vo7;kevu;7ov_7osil;7ahval_na	U+0076
^v	v	B	Zinacantán Tzotzil	72	vitz;vo';vashal;vok;vinahel	U+005E U+0076
v$	v	B	Zinacantán Tzotzil	16	pulav;taiv;7osov;chanul_7akov;k’uhav	U+0076 U+0024
c	c	C	Zinacantán Tzotzil	2	vaca;vacash	U+0063
tz	tsʰ	C	Zinacantán Tzotzil	19	saktzeul;7antzilal;htzakchoy;tzatzal;motzobil	U+0074 U+007A
^tz	tsʰ	C		44	tzuh_ton;tzeb;tzebil;tzeb;tzo7op	U+005E U+0074 U+007A
tz$	tsʰ	C	Zinacantán Tzotzil	15	vitz;7antz;bik’tal_7antz;me7anal_7antz;7okotz	U+0074 U+007A U+0024
e	e	E	Zinacantán Tzotzil	409	7ach'el;ch'en;k'ulebal;ch'en;nail_ch'en	U+0065
e$	e	E	Zinacantán Tzotzil	26	sankre;tz’anesbe;tze;traste;7asete	U+0065 U+0024
'	ʔ	H		37	7ik'ubal;7ik'ubal;7ach'el;ch'en;k'ulebal	U+0027
7	ʔ	H	Zinacantán Tzotzil	171	sha7ab;te7tik;me7_vo7;me7_k’inubal;7ik’7osil	U+0037
`	ʔ	H	Zinacantán Tzotzil	8	chame-`at;ti`_bail;ve`el____;pasob_ve`elil;tz'itesob_`at	U+0060
h	h	H	Zinacantán Tzotzil	76	vinahel;tzuh_ton;7ahnilal;7ahval_na;7iktaehbail	U+0068
j	ħ	H	Zinacantán Tzotzil	8	7uch'bajel;kajan;kujtzanan;yayijemal;tojel_`ak'el	U+006A
'$	ʔ	H	Zinacantán Tzotzil	8	yi';vo';yaleb_vo';lep';puk'	U+0027 U+0024
7$	ʔ	H	Zinacantán Tzotzil	67	takite7;me7_vo7;vo7;si7;nene7	U+0037 U+0024
^7	ʔ	H	Zinacantán Tzotzil	212	7osil;7ik'ubal;7ik'ubal;7ach'el;7a'al	U+005E U+0037
^`	ʔ	H	Zinacantán Tzotzil	6	`abtelil;`antivo_tak'in;`util;`amiko;`alib_me`elil	U+005E U+0060
^h	h	H	Zinacantán Tzotzil	86	hun_totil;hun_ch’amalil;hun_nich’onil;hun_7olil;htzakchoy	U+005E U+0068
^j	ħ	H	Zinacantán Tzotzil	6	jun_totil;jmak-_;jotzobil;jet_te7;japajtik	U+005E U+006A
h$	h	H	Zinacantán Tzotzil	73	chih;hoh;chih;poshil_chuvah;7obah	U+0068 U+0024
j$	ħ	H	Zinacantán Tzotzil	5	7itaj;keplej;yi`lej;nopoj;p’ij	U+006A U+0024
^hw	hʷ	H	Zinacantán Tzotzil	1	hweves	U+005E U+0068 U+0077
i	i	I	Zinacantán Tzotzil	570	balamil;balamil;7osil;puksat_balamil;7ik'ubal	U+0069
i$	i	I	Zinacantán Tzotzil	25	but’i;naki;kahi;kehi;pek'i	U+0069 U+0024
ii	iː	I	Zinacantán Tzotzil	2	biil;biin	U+0069 U+0069
y	j	J	Zinacantán Tzotzil	45	puyal_7uk’um;rinyon;hokbe_vayel;vaychin;ch’ay_ba	U+0079
^y	j	J	Zinacantán Tzotzil	24	yi';yaleb_vo';yevash;yashavo7;yu7_7u7un	U+005E U+0079
y$	j	J	Zinacantán Tzotzil	23	wey;htzakchoy;choy;merio_choy;kukay	U+0079 U+0024
g	g	K	Zinacantán Tzotzil	3	lagarto;lagrio;lugar	U+0067
k	k	K	Zinacantán Tzotzil	161	7ik'ubal;pukuk;7ik'ubal;takite7;nikel	U+006B
^k	k	K	Zinacantán Tzotzil	80	k'ulebal;k'ulebal;k'ak'al;kevu;krishchnano	U+005E U+006B
k$	k	K	Zinacantán Tzotzil	77	pukuk;pach'altik;vok;7ach'eltik;te7tik	U+006B U+0024
kw	kʷ	K	Zinacantán Tzotzil	1	pas_kwenta	U+006B U+0077
k’	kʼ	K	Zinacantán Tzotzil	131	7uk’um;me7_k’inubal;k’ak’al;7ik’7osil;nak’obal	U+006B U+2019
^kw	kʷ	K	Zinacantán Tzotzil	1	kwenta	U+005E U+006B U+0077
^k’	kʼ	K	Zinacantán Tzotzil	71	k’anal;k’ak’al;k’ok’;k’ok’;k’ak’	U+005E U+006B U+2019
k’$	kʼ	K	Zinacantán Tzotzil	60	k’ok’;7ik’;7ik’;k’ok’;7at_k’ok’	U+006B U+2019 U+0024
l	l	L	Zinacantán Tzotzil	255	balamil;balamil;puksat_balamil;k'ulebal;pach'altik	U+006C
^l	l	L	Zinacantán Tzotzil	62	luna;lus;lumal_tok;loro;leon	U+005E U+006C
