Grapheme	IPA	SCA	LANGUAGES	FREQUENCY	EXAMPLES	CODEPOINTS
^	NULL			30	(ikan)_lumba-lumba;(ayam)_jago;(burung)_nuri;(burung)_bétét;(burung)_gagak	U+005E
$	NULL			29	pasang-surut_(laut);nyala_(api);saudara_(kandung);camar_(laut);pembuluh_(darah)	U+0024
(	NULL			59	pasang-surut_(laut);nyala_(api);(ikan)_lumba-lumba;saudara_(kandung);(ayam)_jago	U+0028
)	NULL			59	pasang-surut_(laut);nyala_(api);(ikan)_lumba-lumba;saudara_(kandung);(ayam)_jago	U+0029
^és$	é/e s	E S	Indonesian	1	és	U+005E U+00E9 U+0073 U+0024
^SIM$	s i m	S I M	Indonesian	1	SIM	U+005E U+0053 U+0049 U+004D U+0024
^TV$	t i f i	T I B I	Indonesian	1	TV	U+005E U+0054 U+0056 U+0024
^WC$	w e s e	W E S E	Indonesian	1	WC	U+005E U+0057 U+0043 U+0024
^PSK$	p eː s k a	P E S K A	Indonesian	1	PSK	U+005E U+0050 U+0053 U+004B U+0024
^WTS$	w é/e t éé/eː s	W E T E S	Indonesian	1	WTS	U+005E U+0057 U+0054 U+0053 U+0024
A	A/a	A		1	(hari)_Ahad	U+0041
a	a	A	Indonesian	1902	alam;jagat;jagat;buana;darat	U+0061
^a	a	A	Indonesian	71	alam;air;ancol;alun;anak_sungai	U+005E U+0061
a$	a	A	Indonesian	289	dunia;buana;nusa;gua;samudra	U+0061 U+0024
aa	aː	A	Indonesian	7	kegelitaan;maag;pekerjaan;memaafkan;mentaati	U+0061 U+0061
ai$	aɪ	A		31	pantai;sungai;anak_sungai;badai;keledai	U+0061 U+0069 U+0024
au$	aʊ	A		18	pulau;danau;kau;beliau;bangau	U+0061 U+0075 U+0024
f	f	B	Indonesian	3	bernafas;memaafkan;wastafel	U+0066
v	v	B	Indonesian	5	léver;olive;havermut;memvonis;télevisi	U+0076
^f	f	B	Indonesian	4	famili;flu;fajar;filem	U+005E U+0066
^v	v	B	Indonesian	2	vonis;vagina	U+005E U+0076
e	e	E	Indonesian	1068	debu;serdak;tebing;lembah;pesisir	U+0065
é	é/e	E	Indonesian	140	médan;séla;glédék;glédék;méga	U+00E9
^e	e	E	Indonesian	6	embun;elang;empat;enam;empuk	U+005E U+0065
^é	é/e	E	Indonesian	4	ékor;énténg;écék-écék;érétan	U+005E U+00E9
e$	e	E	Indonesian	3	tante;olive;wine	U+0065 U+0024
é$	é/e	E	Indonesian	6	ketombé;cabé;soré;sué;idé	U+00E9 U+0024
kh	x	G	Indonesian	6	terakhir;akhir;kekhawatiran;mengkhianati;berkhotbah	U+006B U+0068
h	h	H	Indonesian	129	matahari;cahaya;lidah_api;menikahi;pernikahan	U+0068
^h	h	H	Indonesian	37	hutan;halilintar;hawa;halimun;hujan	U+005E U+0068
h$	h	H	Indonesian	109	tanah;tanah;lembah;buih;guruh	U+0068 U+0024
k$	ʔ	H	Indonesian	161	serdak;bergejolak;bergolak;teluk;ombak	U+006B U+0024
i	i	I	Indonesian	649	dunia;pasir;bukit;tebing;pesisir	U+0069
I$	i	I	Indonesian	1	menghalangI	U+0049 U+0024
^i	i	I	Indonesian	29	ibun;insan;istri;ibu;induk	U+005E U+0069
i$	i	I	Indonesian	185	bumi;duli;kali;perigi;matahari	U+0069 U+0024
y	j	J	Indonesian	52	paya;kayu;surya;cahaya;bayangan	U+0079
^y	j	J	Indonesian	3	yatim-piatu;yakin;ya	U+005E U+0079
g	g	K	Indonesian	168	jagat;bergejolak;bergelora;bergolak;laguna	U+0067
k	k	K	Indonesian	340	bukit;anak_sungai;angkasa;cakrawala;kartika	U+006B
^K	K/k	K	Indonesian	1	Kamis	U+005E U+004B
^g	g	K	Indonesian	53	gunung;gua;gelombang;gempa;guntur	U+005E U+0067
^k	k	K	Indonesian	223	kali;kayu;kartika;kilat;kegelapan	U+005E U+006B
g$	g	K	Indonesian	1	maag	U+0067 U+0024
ks	ks	K	Indonesian	8	paksina;daksina;bijaksana;maksud;saksi	U+006B U+0073
kw	kʷ	K	Indonesian	2	terdakwa;mendakwa	U+006B U+0077
^kh	kʰ	K	Indonesian	1	khitan	U+005E U+006B U+0068
l	l	L	Indonesian	364	alam;duli;pulau;bergejolak;bergelora	U+006C
^l	l	L	Indonesian	85	lumpur;lembah;laut;lautan;laguna	U+005E U+006C
l$	l	L	Indonesian	65	ancol;bagal;kadal;jempol;ginjal	U+006C U+0024
M	M/m	M		1	(hari)_Minggu	U+004D
m	m	M	Indonesian	359	bumi;lumpur;lembah;samudra;samudra	U+006D
^m	m	M	Indonesian	446	médan;mata_air;matahari;méga;membakar	U+005E U+006D
m$	m	M	Indonesian	62	alam;om;ayam;oposum;(gigi)_geraham	U+006D U+0024
n	n	N	Indonesian	366	dunia;buana;tanah;tanah;gunung	U+006E
^n	n	N	Indonesian	21	nusa;naung;nénék;nénék-moyang;nanah	U+005E U+006E
n$	n	N	Indonesian	304	dataran;médan;daratan;lautan;alun	U+006E U+0024
nc	ɲ	N		49	ancol;kelinci;kencing;pincang;mencekik	U+006E U+0063
ng	ŋ	N		319	pasang-surut_(laut);sungai;anak_sungai;langit;angkasa	U+006E U+0067
nj	ɲ	N		32	tanjung;anjing;ginjal;menjilat;telanjang	U+006E U+006A
ny	ɲ	N		53	menyalakan;menyulut;monyét;penyengat;mengunyah	U+006E U+0079
^ng	ŋ	N		2	ngomong;ngobrol	U+005E U+006E U+0067
^ny	ɲ	N		4	nyala_(api);nyamuk;nyiur;nyawa	U+005E U+006E U+0079
ng$	ŋ	N		216	gunung;tebing;padang;tenang;tanjung	U+006E U+0067 U+0024
b	b	P	Indonesian	258	debu;tebing;lembah;terumbu;ombak	U+0062
p	p	P	Indonesian	206	lumpur;gempa;kegelapan;api;lidah_api	U+0070
^b	b	P	Indonesian	230	buana;bumi;bukit;bergejolak;bergelora	U+005E U+0062
^p	p	P	Indonesian	202	pasir;padang;pulau;pantai;pesisir	U+005E U+0070
b$	b	P	Indonesian	8	arnab;jilbab;raib;aib;sebab	U+0062 U+0024
p$	p	P	Indonesian	36	asap;sirip;berkedip;sayap;menguap	U+0070 U+0024
r	r	R	Indonesian	499	darat;serdak;dataran;daratan;samudra	U+0072
^R	R/r	R	Indonesian	1	Rabu	U+005E U+0052
^r	r	R	Indonesian	49	rawa;rimba;rembulan;ribut;rajawali	U+005E U+0072
r$	r	R	Indonesian	151	lumpur;pasir;pesisir;air;pusaran_air	U+0072 U+0024
s	s	S	Indonesian	178	pasir;nusa;pesisir;pesisir;busa	U+0073
z	z	S	Indonesian	3	jenazah;(buah)_zaitun;zina(h)	U+007A
^S	S/s	S	Indonesian	3	Senin;Selasa;Sabtu	U+005E U+0053
^s	s	S	Indonesian	162	serdak;samudra;samudra;situ;surut	U+005E U+0073
s$	s	S	Indonesian	73	gadis;gadis;unggas;tikus;(ikan)_paus	U+0073 U+0024
ss	ss/s	S	Indonesian	1	massa	U+0073 U+0073
sy	ʃ	S		1	lembaga_pemasyarakatan	U+0073 U+0079
^sh	s	S	Indonesian	1	sholat	U+005E U+0073 U+0068
^sy	ʃ	S		1	syurga	U+005E U+0073 U+0079
c	tʃ	T	Indonesian	52	cuaca;bocah;perceraian;anak-cucu;anak-cucu	U+0063
d	d	T	Indonesian	196	serdak;padang;médan;samudra;samudra	U+0064
j	dʒ	T	Indonesian	67	bergejolak;air_terjun;hujan;salju;(ayam)_jago	U+006A
t	t	T	Indonesian	332	dataran;daratan;pantai;lautan;situ	U+0074
^J	J/dʒ	T	Indonesian	1	Jum'at	U+005E U+004A
^c	tʃ	T	Indonesian	46	cakrawala;candra;cahaya;cuaca;cowok	U+005E U+0063
^d	d	T	Indonesian	63	dunia;darat;debu;duli;dataran	U+005E U+0064
^j	dʒ	T	Indonesian	46	jagat;janda;jantan;jénggot;janggut	U+005E U+006A
^t	t	T	Indonesian	168	tanah;tanah;tebing;tenang;teluk	U+005E U+0074
d$	d	T	Indonesian	5	jasad;(hari)_Ahad;murid;maksud;masjid	U+0064 U+0024
t$	t	T	Indonesian	162	jagat;darat;bukit;laut;surut	U+0074 U+0024
o	o	U	Indonesian	207	bergejolak;bergelora;bergolak;ancol;gelombang	U+006F
^o	o	U	Indonesian	13	ombak;orang;orang_tua;opa;oma	U+005E U+006F
o$	o	U	Indonesian	15	(ayam)_jago;téko;soto;tato;kano	U+006F U+0024
w	w	W	Indonesian	38	rawa;cakrawala;hawa;pawana;awan	U+0077
^w	w	W	Indonesian	12	wana;wanita;wanita;wajah;wajan	U+005E U+0077
u	u	Y	Indonesian	727	dunia;buana;bumi;duli;lumpur	U+0075
^u	u	Y	Indonesian	23	udara;udara;unggas;unta;ular	U+005E U+0075
u$	u	Y	Indonesian	111	debu;situ;terumbu;kayu;batu	U+0075 U+0024
-	+	_	Indonesian	34	pasang-surut_(laut);bayang-bayang;laki-laki;laki-laki;(ikan)_lumba-lumba	U+002D
_	_	_	Indonesian	168	pasang-surut_(laut);anak_sungai;pusaran_air;mata_air;air_terjun	U+005F
éh	é/e h	E H	Indonesian	3	léhér;séhat;memperboléhkan	U+00E9 U+0068
éh$	é/e h	E H	Indonesian	1	téh	U+00E9 U+0068 U+0024
és	é/e s	E S	Indonesian	7	géspér;menggésék;terpelését;bésok;désa	U+00E9 U+0073
és$	é/e s	E S	Indonesian	1	menétés	U+00E9 U+0073 U+0024
éw	é/e w	E W	Indonesian	5	céwék;héwan;bréwok;déwa;léwat	U+00E9 U+0077
'a	ʔ a	H A	Indonesian	1	Jum'at	U+0027 U+0061
gg	g g	K K	Indonesian	1	meggulingkan	U+0067 U+0067
kk	k k	K K	Indonesian	9	memperanakkan;menekukkan;membéngkokkan;membalikkan;membélokkan	U+006B U+006B
ls	l s	L S	Indonesian	1	sumpah_palsu	U+006C U+0073
ns	n s	N S	Indonesian	4	insan;insang;berdansa;konspirasi	U+006E U+0073
rh	r h	R H	Indonesian	5	perhiasan;berhutang;berhenti;berharap;berhala	U+0072 U+0068
rs	r s	R S	Indonesian	14	bersin;bersetubuh;kursi;terselip;bersinar	U+0072 U+0073
rw	r w	R W	Indonesian	3	terwélu;arwah;terwélu	U+0072 U+0077
