Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
ã	ã	ktɔʔ jumãhãn, hyãʔ	Ceq Wong	21	\xe3
ĩ	ĩ	hĩʔ, teʔ kunĩŋ	Ceq Wong	8	\u0129
ũ	ũ	jəhũʔ, paɲũʔ	Ceq Wong	22	\u0169
ə̃	ə̃	mhə̃m, ʔə̃ʔ	Ceq Wong	2	\u0259 \u0303
ɑ̃	ɑ̃	hɑ̃n, məʔɑ̃c	Ceq Wong	10	\u0251 \u0303
ɛ̃	ɛ̃	manɛ̃k, wɛ̃ŋ	Ceq Wong	55	\u025b \u0303
ɨ̃	ɨ̃	wɨ̃t, mnɨ̃ʔ	Ceq Wong	15	\u0268 \u0303
ɔ̃	ɔ̃	ʔɔ̃ɲ, mɔ̃y gɔy	Ceq Wong	17	\u0254 \u0303
ʔ	ʔ	coʔ ʔay, cɛʔ ʔɛ̃ŋ	Ceq Wong	61	\u0294
ʔ$	ʔ	bajuʔ, wəʔ	Ceq Wong	164	\u0294 $
^ʔ	ʔ	ʔɔs, ʔɑl	Ceq Wong	45	^ \u0294
ə	ə	wəʔ, ləy	Ceq Wong	128	\u0259
ə$	ə	gulə, mnə	Ceq Wong	8	\u0259 $
ŋ	ŋ	piŋan, saraŋ lway	Ceq Wong	61	\u014b
ŋ$	ŋ	tarəŋ, daraŋ	Ceq Wong	111	\u014b $
^ŋ	ŋ	ŋɔk, ŋɑlɑŋ	Ceq Wong	7	^ \u014b
_	_	cɨp baləy cɑn, saraŋ lway	Ceq Wong	92	_
a	a	blajar, saraŋ lway	Ceq Wong	482	a
ɑ	ɑ	ŋɑlɑŋ, tɑm	Ceq Wong	80	\u0251
ɒ	ɒ	cicɒh	Ceq Wong	1	\u0252
b	b	jabuc, labuʔ	Ceq Wong	51	b
^b	b	buat, blajar	Ceq Wong	93	^ b
c	c	kcɛʔ, ʔac cəŋ	Ceq Wong	34	c
^c	c	cɨp, caceŋ	Ceq Wong	56	^ c
c$	c	lwəc, jabuc	Ceq Wong	33	c $
d	d	suduʔ, kadaŋ kadaŋ	Ceq Wong	37	d
^d	d	daraŋ, daŋ	Ceq Wong	21	^ d
e	e	yey, bayek	Ceq Wong	84	e
ɛ	ɛ	tɛʔ, kcɛʔ	Ceq Wong	37	\u025b
g	g	tiŋgiʔ, ploʔ gal	Ceq Wong	25	g
^g	g	gɔs, gurɛk	Ceq Wong	33	^ g
h	h	jəhũʔ, hyhuay	Ceq Wong	30	h
ŋh	ŋh	jaŋhəy	Ceq Wong	1	\u014b h
^h	h	harən, hɑ̃n	Ceq Wong	67	^ h
h$	h	cɑh, pilɑh	Ceq Wong	59	h $
^mh	mh	mhə̃m	Ceq Wong	1	^ m h
^th	tʰ	thun	Ceq Wong	2	^ t h
i	i	tiŋgiʔ, piŋan	Ceq Wong	141	i
ɨ	ɨ	kbɨs, cɨp	Ceq Wong	34	\u0268
i$	i	tibi, tɑm kopi	Ceq Wong	4	i $
j	j	blajar, bajuʔ	Ceq Wong	29	j
^j	j	jabuc, jəhũʔ	Ceq Wong	31	^ j
k	k	baŋkoʔ kəhɛr, skoʔ	Ceq Wong	66	k
^k	k	kəs, kuy	Ceq Wong	126	^ k
k$	k	bayek, manɛ̃k	Ceq Wong	67	k $
l	l	blajar, slaloʔ	Ceq Wong	91	l
^l	l	ləy, lac	Ceq Wong	51	^ l
