Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
ü	ü	sülei	Selice Romani	1	\xfc
-	+				-
bb	bː	muken abba	Selice Romani	1	b b
cc	cː	vicco, špicco	Selice Romani	4	c c
čč	tʃː	freččelinen, íriččígo	Selice Romani	3	\u010d \u010d
dd	dː	iddzadinen, kėddo	Selice Romani	2	d d
gg	gː	reggeli	Selice Romani	1	g g
kk	kː	makko, cekkeri	Selice Romani	2	k k
mm	mː	šemmiššítinen	Selice Romani	1	m m
nn	nː	idegenno, íhéhótlanno	Selice Romani	4	n n
ňň	ɲː	keňňíno, ďiňňa	Selice Romani	5	\u0148 \u0148
pp	pː	puppa, uppe	Selice Romani	3	p p
šš	ʃː	šemmiššítinen, paššon	Selice Romani	9	\u0161 \u0161
ss	sː	tassaren, tasson	Selice Romani	3	s s
tt	tː	kettéšno, tabletta	Selice Romani	4	t t
ťť	tʲː	pariťťa	Selice Romani	1	\u0165 \u0165
č	tʃ	čúči, meňėčkė	Selice Romani	58	\u010d
š	ʃ	kašt, uštiden	Selice Romani	192	\u0161
^č	tʃ	čalaven, čúči	Selice Romani	77	^ \u010d
^š	ʃ	šúžo, šarka	Selice Romani	77	^ \u0161
č$	tʃ	kuč	Selice Romani	1	\u010d $
š$	ʃ	epaš, véš	Selice Romani	11	\u0161 $
ž	ʒ	džan, šúžo	Selice Romani	52	\u017e
^ž	ʒ	žugorotno, žila	Selice Romani	9	^ \u017e
ž$	ʒ	mindž, pándž	Selice Romani	6	\u017e $
_	_	ciden ári, džan upre	Selice Romani	86	_
a	a	čalaven, paťan	Selice Romani	641	a
á	á/a	világošno, báránka	Selice Romani	301	\xe1
^a	a	astaren, akharen	Selice Romani	55	^ a
^á	á/a	áloto, áver	Selice Romani	27	^ \xe1
a$	a	cipa, šarka	Selice Romani	282	a $
á$	á/a	čhá, odá	Selice Romani	15	\xe1 $
b	b	hiba, hábe	Selice Romani	88	b
^b	b	bíróšágo, but	Selice Romani	108	^ b
b$	b	čhib	Selice Romani	2	b $
c	c	lánco, pekenuca	Selice Romani	31	c
^c	c	cipa, ciden ári	Selice Romani	23	^ c
d	d	uštiden, ódalbordo	Selice Romani	204	d
^d	d	dí, díve	Selice Romani	90	^ d
d$	d	moštóno dad, zijėnd	Selice Romani	10	d $
e	e	pumen, termelinen	Selice Romani	804	e
é	é/e	kávéfézó, séllóva	Selice Romani	78	\xe9
ė	ė/e	vėzėtinen, kėrpėlėcė	Selice Romani	123	\u0117
^e	e	epaš, erďavo	Selice Romani	19	^ e
^é	é/e	éšéno, éršígo	Selice Romani	5	^ \xe9
^ė	ė/e	ėvėzó, ėvėdzó	Selice Romani	10	^ \u0117
e$	e	díve, hábe	Selice Romani	76	e $
é$	é/e	kėzé, fé	Selice Romani	3	\xe9 $
ė$	ė/e	meňėčkė, gėrėblė	Selice Romani	19	\u0117 $
f	f	hėtfeno, asso féliko	Selice Romani	17	f
^f	f	fullánka, fėštinen	Selice Romani	51	^ f
g	g	világošno, bíróšágo	Selice Romani	179	g
^g	g	gódi, gój	Selice Romani	46	^ g
g$	g	sig, mindíg	Selice Romani	11	g $
h	h	praho, čohanipe	Selice Romani	20	h
^h	h	hiba, hajon	Selice Romani	71	^ h
čh	tʃʰ	láčho, bičhaven	Selice Romani	16	\u010d h
kh	kʰ	akharen, dikhen	Selice Romani	19	k h
