Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
.	NULL	duː... duː	Sakha	3	.
^	NULL				^
(	NULL
)	NULL
ỹ	ỹ	kiỹiːt, iỹe kɨlɨn	Sakha	12	\u1ef9
-	+	kün-ʤɨl	Sakha	3	-
a:	aː	tünnük ta:ha	Sakha	1	a :
aː	aː	bɨraːt, ɲaːlbaːn	Sakha	157	a \u02d0
čč	tʃː	keččegey, ɨččat	Sakha	19	\u010d \u010d
eː	eː	emeːχsin, iesteːχ	Sakha	29	e \u02d0
iː	iː	kiːn, kiỹiːt	Sakha	43	i \u02d0
ɨː	ɨː	kɨːs, bɨːhaː	Sakha	54	\u0268 \u02d0
χχ	χː	χaχχan	Sakha	1	\u03c7 \u03c7
kk	kː	suokka, uon ikki	Sakha	11	k k
ll	lː	ɨllaː, köŋülleː	Sakha	24	l l
mm	mː	kumalammɨt, tammalaː	Sakha	3	m m
nn	nː	kenniger, tüört munnuk	Sakha	31	n n
oː	oː	ogdoːbo, čoːsku	Sakha	9	o \u02d0
öː	öː/œː	öydöːχ, töröːbüt doydu	Sakha	7	\xf6 \u02d0
pp	pː	biriːppe, iːppit kɨːs	Sakha	21	p p
ss	sː	massɨːna, miliːssiye	Sakha	7	s s
tt	tː	kuttal, töröppütter	Sakha	25	t t
uː	uː	kuruːk, suːn	Sakha	42	u \u02d0
üː	üː/yː	küːgen, üön-köyüːr	Sakha	16	\xfc \u02d0
^aː	aː	aːχ, aːn sɨŋaːɣa	Sakha	8	^ a \u02d0
^iː	iː	iːppit kɨːs, iːreːki	Sakha	10	^ i \u02d0
^ɨː	ɨː	ɨːt, ɨːstaː	Sakha	4	^ \u0268 \u02d0
^oː	oː	oːnɲoː, oːɣuy sitime	Sakha	3	^ o \u02d0
^uː	uː	uːr, uːnnar	Sakha	10	^ u \u02d0
^üː	üː/yː	üːnner, üːneːyi	Sakha	6	^ \xfc \u02d0
aː$	aː	bɨːhaː, ɨyaː	Sakha	75	a \u02d0 $
eː$	eː	čeydeː, köŋülleː	Sakha	24	e \u02d0 $
iː$	iː	tiriː, seriː	Sakha	14	i \u02d0 $
ɨː$	ɨː	ahɨː, ɨarɨː	Sakha	25	\u0268 \u02d0 $
oː$	oː	oːnɲoː, bosχoloː	Sakha	7	o \u02d0 $
öː$	öː/œː	kördöː, tölöː	Sakha	5	\xf6 \u02d0 $
uː$	uː	χottoruː, untuː	Sakha	11	u \u02d0 $
üː$	üː/yː	tüː, ölörüː	Sakha	12	\xfc \u02d0 $
^uː$	uː	uː	Sakha	1	^ u \u02d0 $
ŋ	ŋ	oŋor, χoruoŋka	Sakha	56	\u014b
ŋ$	ŋ	üŋ, kisteleŋ	Sakha	17	\u014b $
č	tʃ	čepčeki, üčügey sɨttaːχ	Sakha	42	\u010d
^č	tʃ	čepčeki, čaɣɨlɣan	Sakha	50	^ \u010d
ï$	ï/ɯ	χas daγanï	Sakha	1	\xef $
ʤ	dʒ	alʤat, eʤiːy	Sakha	26	\u02a4
^ʤ	dʒ	ʤon, ʤɨl	Sakha	25	^ \u02a4
_	_	töröːbütün tuhunan tuohu suruk, taχsan kiːrer sir	Sakha	122	_
a	a	ɨaraχan, tarbaχ	Sakha	554	a
^a	a	alʤat, ahɨː	Sakha	83	^ a
a$	a	balta, muosta	Sakha	143	a $
b	b	ogdoːbo, ubay	Sakha	129	b
^b	b	bɨraːt, balɨs	Sakha	166	^ b
d	d	töröːbüt doydu, öydöːχ	Sakha	71	d
^d	d	die, dolbuːr	Sakha	14	^ d
d$	d	belasiped	Sakha	1	d $
e	e	čepčeki, keččegey	Sakha	323	e
^e	e	ehe, emeːχsin	Sakha	53	^ e
e$	e	biriːppe, ehe	Sakha	92	e $
^e$	e	e	Sakha	1	^ e $
f	f	neft, kofe	Sakha	2	f
g	g	ogdoːbo, keččegey	Sakha	101	g
ɣ	ɣ	čaɣɨlɣan, taɣɨs	Sakha	133	\u0263
γ	γ/ɣ	χas daγanï	Sakha	1	\u03b3
^g	g	gɨn, gaŋsa	Sakha	2	^ g
h	h	ihit, ohoχ	Sakha	140	h
^h	h	horkuoydaː	Sakha	1	^ h
i	i	kime billibet kihi, sibiligin	Sakha	265	i
ɨ	ɨ	sɨtɨybɨt, χatɨrɨk	Sakha	366	\u0268
^i	i	ihit, iliː	Sakha	50	^ i
^ɨ	ɨ	ɨaraχan, ɨl	Sakha	64	^ \u0268
i$	i	kini, čepčeki	Sakha	34	i $
ɨ$	ɨ	ɨrbaːχɨ, tɨhɨ	Sakha	30	\u0268 $
k	k	čepčeki, siːkey	Sakha	114	k
^k	k	kini, kɨːs	Sakha	205	^ k
k$	k	kuruːk, ürdük	Sakha	65	k $
χ	χ	ɨaraχan, ɨrbaːχɨ	Sakha	50	\u03c7
^χ	χ	χataːhɨn, χatɨrɨk	Sakha	112	^ \u03c7
χ$	χ	ohoχ, aːχ	Sakha	130	\u03c7 $
l	l	alʤat, balɨs	Sakha	242	l
^l	l	laːmpa, laːppɨ	Sakha	6	^ l
l$	l	ɨl, uol	Sakha	70	l $
m	m	emiːy, emeːχsin	Sakha	99	m
^m	m	mas, melʤi	Sakha	70	^ m
m$	m	kem, silim	Sakha	8	m $
n	n	kini, töröːbütün tuhunan tuohu suruk	Sakha	146	n
ɲ	ɲ	oɣonɲor, oːnɲoː	Sakha	18	\u0272
^n	n	nüömer, naːr	Sakha	10	^ n
^ɲ	ɲ	ɲirey, ɲuːl	Sakha	4	^ \u0272
n$	n	ɨaraχan, toyon	Sakha	157	n $
o	o	toyon, soɣotoχ	Sakha	305	o
^o	o	oŋor, ohoχ	Sakha	49	^ o
o$	o	ogdoːbo, oɣuruo	Sakha	29	o $
ö	ö/œ	soto bötöɣötö, čöɣöčök	Sakha	122	\xf6
^ö	ö/œ	ölör, öydöːχ	Sakha	19	^ \xf6
ö$	ö/œ	töbö, töhö	Sakha	12	\xf6 $
p	p	čepčeki, busput	Sakha	36	p
^p	p	počta, paːr	Sakha	8	^ p
p$	p	emp, söp	Sakha	15	p $
r	r	ɨaraχan, tart	Sakha	387	r
^r	r	rakovina	Sakha	1	^ r
r$	r	uːr, oŋor	Sakha	129	r $
s	s	muosta, ispiːske	Sakha	96	s
^s	s	sien, siːkey	Sakha	197	^ s
s$	s	mas, kɨːs	Sakha	125	s $
t	t	soto bötöɣötö, töröːbütün tuhunan tuohu suruk	Sakha	271	t
^t	t	tut, tüː	Sakha	181	^ t
t$	t	tut, tart	Sakha	144	t $
u	u	kuturguya, töröːbütün tuhunan tuohu suruk	Sakha	313	u
^u	u	uol, uot	Sakha	56	^ u
u$	u	čoːsku, töröːbüt doydu	Sakha	17	u $
v	v	pravitelstva, avtobus	Sakha	4	v
^x	x	xoruoluk	Sakha	1	^ x
x$	x	taỹax	Sakha	1	x $
ü	ü/y	kütüöt, tarbaχ ütülük	Sakha	159	\xfc
y	y	toyon, čeydeː	Sakha	96	y
^ü	y	üören, ürdük	Sakha	37	^ \xfc
ü$	ü/y	küögü, čüːččü	Sakha	4	\xfc $
y$	y	emiːy, siːkey	Sakha	99	y $
z	z	telebiːzer, muzɨka	Sakha	5	z
^-A	+ A/a	-A sataː	Sakha	1	^ - A
üːh	yː h	küːhüleː, bülüːhe	Sakha	2	\xfc \u02d0 h
üːs	üː/yː s	külüːs tɨla, külüːske	Sakha	3	\xfc \u02d0 s
üːs$	üː/yː s	külüːs	Sakha	2	\xfc \u02d0 s $
ŋs	ŋ s	mieliŋse, iŋseleːχ	Sakha	3	\u014b s
χs	χ s	emeːχsin, deχsi	Sakha	14	\u03c7 s
ks	k s	ɨksaː, balɨksɨt	Sakha	3	k s
ms	m s	χamsa, kemsin	Sakha	6	m s
öh	ö/œ h	töhö, süöhü	Sakha	8	\xf6 h
^öh	ö/œ h	öhüö	Sakha	1	^ \xf6 h
ös	ö/œ s	üösket, böppürüöske	Sakha	4	\xf6 s
^ös	ö/œ s	östüöküle, östöːχ	Sakha	2	^ \xf6 s
ös$	ö/œ s	küös, kömölös	Sakha	3	\xf6 s $
ps	p s	kepseː, kupsuːn	Sakha	6	p s
rs	r s	kuorsun, kɨrsa	Sakha	8	r s
üh	ü/y h	tüheː, tühülge	Sakha	6	\xfc h
^üh	ü/y h	ühüs, ühüːr	Sakha	2	^ \xfc h
üs	ü/y s	kömüskeː	Sakha	1	\xfc s
^üs	ü/y s	üs tögül, üste	Sakha	2	^ \xfc s
üs$	y s	tüs, ühüs	Sakha	12	\xfc s $
^üs$	y s	üs	Sakha	1	^ \xfc s $
ls	l + s	pravitelstva	Sakha	1	l s
ns	n + s	kensierbe baːnkata, beːtinse	Sakha	2	n s
