Grapheme	IPA	SCA	LANGUAGES	FREQUENCY	EXAMPLES	CODEPOINTS
^	NULL			143	-ek’el-;-ek’e-;-edl-;-äᵑč-;-ut’-	U+005E
$	NULL			348	-ek’el-;-ek’e-;ɬišel-;-edl-;aq’o_y-ẽƛe-	U+0024
^īᵑ$	ĩː	I	Bezhta	1	īᵑ	U+005E U+012B U+1D51 U+0024
^boco$	b o ts o	P U C U	Bezhta	1	boco	U+005E U+0062 U+006F U+0063 U+006F U+0024
^ničdiyo$	n i tʃ d i j o	N I T T I J U	Bezhta	1	ničdiyo	U+005E U+006E U+0069 U+010D U+0064 U+0069 U+0079 U+006F U+0024
a	a	A	Bezhta	740	dunnal;raƛ’;pax;tato;ät’iraƛ’	U+0061
ã	ã	A	Bezhta	11	ʔãʔũ;-ãk-;ƛ’oddã_-ẽƛ’e-;ƛ’oddã_-aɣol-;-ãsa-	U+00E3
ā	aː	A	Bezhta	14	soyyā_gäččo;atabākiyoɬi;hāyo;xosdāɬi;halaɬcolāq	U+0101
^A	A/a	A	Bezhta	1	Allah	U+005E U+0041
^a	a	A	Bezhta	46	akean;abo;aqo;aboddās;aqo-qowa	U+005E U+0061
^ã	ã	A	Bezhta	11	ãq’o;ãga;ãx;ãq’;ãc	U+005E U+00E3
a$	a	A	Bezhta	156	ulka;soyya;q’ica;mašola;xida	U+0061 U+0024
ã$	ã	A	Bezhta	6	cã;kẽyã;kẽyã;cã;c’ãʔã	U+00E3 U+0024
ā$	aː	A	Bezhta	16	k’ā;miqā;k’ado-miqā;gogā;cot’ā	U+0101 U+0024
āᵑ$	ãː	A	Bezhta	1	cāᵑ	U+0101 U+1D51 U+0024
f	f	B	Bezhta	1	delfin	U+0066
v	v	B	Bezhta	2	četverg;atvyorka	U+0076
^f	f	B	Bezhta	1	ftornik	U+005E U+0066
c	ts	C	Bezhta	61	q’ica;hidoci;picka;icilo;icilo_iyo	U+0063
^c	ts	C	Bezhta	19	cumri;cã;can;cũha;cot’ā	U+005E U+0063
c$	ts	C	Bezhta	11	c’oys_mic;mic;aboc;ãc;ãc	U+0063 U+0024
e	e	E	Bezhta	292	šed;kantinent;akean;ẽxe_k’äyƛöčäš_mäče;mäče_laxƛōɬi	U+0065
ä	æ	E	Bezhta	201	mäče;ɬäräʔɬi;ɬäräʔɬi;räʔäl;räʔäl	U+00E4
ǟ	æː	E	Bezhta	12	hǟmö;q’ǟm;müɣättǟš_q’äm;xöwǟ-;čälǟš_ƛ’amo	U+01DF
ẽ	ẽ	E	Bezhta	27	aq’o_y-ẽƛe-;aqo_y-ẽƛe-yo;kẽyã;kẽyã;ƛẽya-	U+1EBD
^e	e	E	Bezhta	7	emo;ezzeʔan;edeʔzi_-aq-;emedās_mex;enekzi_-aq-	U+005E U+0065
^ä	æ	E	Bezhta	22	ät’iraƛ’;ät’iɬi;ädäm;ägärɬi;äq’äräb	U+005E U+00E4
^ẽ	ẽ	E	Bezhta	7	ẽxe;ẽxe_k’äyƛöčäš_mäče;ẽxe_yaɣo-;ẽxeƛ’alƛ’ā_-ẽƛ’e-;ẽxeʔ_-ogic’-	U+005E U+1EBD
e$	e	E	Bezhta	45	mäče;ẽxe;ẽxe_k’äyƛöčäš_mäče;ile;miže	U+0065 U+0024
ä$	æ	E	Bezhta	28	häžä;güdä;kälä;böƛöqä;ƛöᵑwä	U+00E4 U+0024
äᵑ	æ̃	E	Bezhta	7	-äᵑč-;ʔäᵑʔäᵑla-;ʔäᵑʔäᵑla-;-äᵑčiic’l-;-äᵑqelagi	U+00E4 U+1D51
ǟ$	æː	E	Bezhta	5	mǟ;mǟ;xuc’mǟ;töbǟ;äᵑydǟ	U+01DF U+0024
ẽ$	ẽ	E	Bezhta	1	hẽ	U+1EBD U+0024
^äᵑ	æ̃	E	Bezhta	11	äᵑdä;äᵑɣä;äᵑɣäläš_kik;äᵑž;äᵑɣäläƛ’ä_-iƛā	U+005E U+00E4 U+1D51
x	x	G	Bezhta	70	ẽxe;ẽxe_k’äyƛöčäš_mäče;mäče_laxƛōɬi;hixo;t’axe	U+0078
ɣ	ɣ	G	Bezhta	65	kalaɣas_q’ī;ƛaplaɣe;ƛ’alis_ƛaplaɣe;maɣo;äᵑɣä	U+0263
^x	x	G	Bezhta	49	xay;xida;xoy;xoyc’on;xȫᵑ	U+005E U+0078
^ɣ	ɣ	G	Bezhta	19	ɣadri;ɣade;ɣalbac’;ɣiz;ɣäde	U+005E U+0263
x$	x	G	Bezhta	23	pax;onox;ãx;müq’ö-box;õx	U+0078 U+0024
ɣ$	ɣ	G	Bezhta	7	miɣ;ɣaɣ;žüɣ;laɣ;halmaɣ	U+0263 U+0024
h	h	H	Bezhta	29	mahar_kešeyoɬi;mihna;cũha;zahru;k’ihmat	U+0068
ʔ	ʔ	H	Bezhta	56	ɬäräʔɬi;räʔäl;ʔãʔũ;cot’iʔis_mäče;ɬüʔ-ƛ-	U+0294
‘	ʕ	H	Bezhta	2	möƛ‘ö;ɬiq‘ol-	U+2018
^h	h	H	Bezhta	111	halagab;häžä;has;hasa_qäƛeyoɬi;hidoci	U+005E U+0068
^ʔ	ʔ	H	Bezhta	2	ʔãʔũ;ʔäᵑʔäᵑla-	U+005E U+0294
h$	h	H	Bezhta	8	moh;peh;month;talih;nagah	U+0068 U+0024
ʔ$	ʔ	H	Bezhta	11	šeblaʔ;hãq’q’alaʔ;hõsolaʔ;mex-mexlaʔ;zama-zamalliʔ	U+0294 U+0024
i	i	I	Bezhta	487	mizo;miso;bizo;ät’iraƛ’;ät’iɬi	U+0069
ĩ	ĩ	I	Bezhta	15	yĩza;-ĩze-;-ĩze-;-ĩco-;-ĩz-	U+0129
ī	iː	I	Bezhta	2	-īqo-;nīyo	U+012B
^i	i	I	Bezhta	43	insan;iyo;iyoddās;iyo;iyo-abo	U+005E U+0069
^ĩ	ĩ	I	Bezhta	1	ĩzo	U+005E U+0129
i$	i	I	Bezhta	136	ät’iɬi;ɬäräʔɬi;č’ink’ilɬi;cumri;ɬi	U+0069 U+0024
ii	iː	I	Bezhta	1	-äᵑčiic’l-	U+0069 U+0069
ĩ$	ĩ	I	Bezhta	4	sĩ;sĩ;sĩ;hĩ	U+0129 U+0024
ī$	ī	I	Bezhta	2	kalaɣas_q’ī;q’ī	U+012B U+0024
j	j	J	Bezhta	1	pijatnica	U+006A
y	j	J	Bezhta	178	maydan;ẽxe_k’äyƛöčäš_mäče;ƛišiyo;kayƛoyo;kayƛoyo	U+0079
