Grapheme	IPA	SCA	LANGUAGES	FREQUENCY	EXAMPLES	CODEPOINTS
^	NULL			19	-pæcǽw;-dóʔ;-wǝhə́d;-wá;-b’ak	U+005E
$	NULL			385	m’ǎj’;wɔ̃wɔ̃´y’;j’áh_y’ũy’ũ´y’;tujd’ak-;hɔ̃-	U+0024
ˇ	NULL		Hup	8	cæ̃cæ̃ˇy’;wãˇʔ;b’ɔtɔk_g’ãˇʔ;hũˇt;hæ̃ˇy’b’ah	U+02C7
-			Hup	391	tujd’ak-;hɔ̃-;tujd’ak-;tǝʔ-;d’ɔk-	U+002D
a	a	A	Hup	205	ʔaʔáb;capáw’;baʔtúk;paç_náŋ;tujd’ak-	U+0061
á	á/a	A	Hup	115	j’áh;j’áh;ʔaʔáb;capáw’;j’áh_y’ũy’ũ´y’	U+00E1
ã	ã	A	Hup	41	tãʔáy;tãʔáy;tãʔãy_dóʔ;tãʔãy_dóʔ;yãwám	U+00E3
ǎ	ǎ/a	A	Hup	51	m’ǎj’;pǎç;pǎç;pǎç_mɔy;hǎy	U+01CE
a$	a	A	Hup	24	picána;cópa;vedúra;ʔacúka;cervéca	U+0061 U+0024
á$	á/a	A	Hup	10	má;-wá;kadawá;yutá;pá	U+00E1 U+0024
ã´	ã´/ã	A	Hup	21	babmã´y;pã´ç;ʔinhã´ç;wã´ʔ;næŋʔã´w	U+00E3 U+00B4
ãˇ$	ãˇ/ã	A	Hup	1	pãˇ	U+00E3 U+02C7 U+0024
v	v	B	Hup	2	cervéca;tedevicãw	U+0076
^v	v	B	Hup	2	vedúra;vĩ´ci	U+005E U+0076
c	c	C	Hup	82	wædhɔm’æ̌h_nɔcáw;teg_cáʔ;teg_cə̌h;-pæcǽw;taʔacáw	U+0063
j	ɟ	C	Hup	11	tujd’ak-;tujd’ak-;j’ujtǐh;toj_mɔ̌y;tǔjtod’	U+006A
ç	ç	C	Hup	9	pǎç_mɔy;paç_náŋ;j’ɔç-;g’ǝç-;tɔç-	U+00E7
