Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
'_	NULL	nup' ba, ti' _________	Zinacantán Tzotzil	2	' _
_$	NULL	jmak-_	Zinacantán Tzotzil	1	_ $
____$	NULL	nukulal ___, ve`el ___	Zinacantán Tzotzil	3	_ _ _ _ $
_________$	NULL	ti' _________	Zinacantán Tzotzil	1	_ _ _ _ _ _ _ _ _ $
____________$	NULL	hay ___________, ch’ul ___________	Zinacantán Tzotzil	3	_ _ _ _ _ _ _ _ _ _ _ _ $
_______________$	NULL	hay ______________	Zinacantán Tzotzil	1	_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ $
________________$	NULL	tot _______________, me7 _______________	Zinacantán Tzotzil	2	_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ $
k’	kʼ	k’ak’al, k’ok’	Zinacantán Tzotzil	191	k \u2019
p’	pʼ	rosa p’in	Zinacantán Tzotzil	5	p \u2019
t’	tʼ	lit’lonah, but’i	Zinacantán Tzotzil	3	t \u2019
^k’	kʼ	k’ak’al, k’ok’	Zinacantán Tzotzil	71	^ k \u2019
^p’	pʼ	p’ehan, p’ok	Zinacantán Tzotzil	13	^ p \u2019
^t’	tʼ	t'ul, t’us	Zinacantán Tzotzil	7	^ t \u2019
ch’	tʃʼ	hun ch’amalil, hun nich’onil	Zinacantán Tzotzil	45	c h \u2019
k’$	kʼ	k’ok’, 7ak’	Zinacantán Tzotzil	23	k \u2019 $
t’$	tʼ	hot’, t’ut’	Zinacantán Tzotzil	5	t \u2019 $
tz’	tsʼ	tz’utz’unchab	Zinacantán Tzotzil	1	t z \u2019
^ch’	tʃʼ	ch’ail, ch’akbail	Zinacantán Tzotzil	39	^ c h \u2019
^tz’	tsʼ	tz’al, tz’unbal	Zinacantán Tzotzil	19	^ t z \u2019
-	+	chame-`at, chak-	Zinacantán Tzotzil	5	-
ii	iː	biil, biin	Zinacantán Tzotzil	2	i i
'	ʔ				'
7	ʔ	7a7i, 7a7ibe 7ik’	Zinacantán Tzotzil	171	7
`	ʔ	ti` bail, tz'itesob `at	Zinacantán Tzotzil	8	`
'$	ʔ	puk', noch'	Zinacantán Tzotzil	8	' $
7$	ʔ	na7, li7	Zinacantán Tzotzil	66	7 $
^7	ʔ	7a7i, 7al	Zinacantán Tzotzil	203	^ 7
^`	ʔ	`antivo tak'in, `abtelil	Zinacantán Tzotzil	6	^ `
x	ʃ	sat xela, 7eklixya	Zinacantán Tzotzil	6	x
^x	ʃ	xuk'av, xax	Zinacantán Tzotzil	2	^ x
sh	ʃ	tishk’uh, mishmish k’op	Zinacantán Tzotzil	59	s h
x$	ʃ	k'ex, xax	Zinacantán Tzotzil	2	x $
^sh	ʃ	shokon vinahel, shik’	Zinacantán Tzotzil	38	^ s h
.	_	7oy....7oy	Zinacantán Tzotzil	4	.
_	_	k’u cha7al, tik’ riosh to 7o7on	Zinacantán Tzotzil	259	_
a	a	k’ak’al, balamil	Zinacantán Tzotzil	848	a
a$	a	ta, 7ora	Zinacantán Tzotzil	103	a $
b	ɓ	7ibel, k’obol	Zinacantán Tzotzil	129	b
^b	ɓ	bon, boh	Zinacantán Tzotzil	71	^ b
b$	b	nab, tzeb	Zinacantán Tzotzil	40	b $
c	c	vacash, vaca	Zinacantán Tzotzil	2	c
e	e	melel, 7etelil	Zinacantán Tzotzil	401	e
