Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
.	NULL	ngáwò.... bèn, gə́rè…..bèn	Kanuri	8	.
…	NULL	gə́rè…..bèn, ngáwò…..bèn	Kanuri	2	\u2026
^	NULL				^
-	+	-làn, kàm-kám	Kanuri	5	-
àà	àà/aː	mààrá njîbè, jóngò mààrá njîbè	Kanuri	6	\xe0 \xe0
áá	áá/aː	sáátə́	Kanuri	1	\xe1 \xe1
ìì	ìì/iː	lììtàrí	Kanuri	1	\xec \xec
íí	íí/iː	líítà, jíínà	Kanuri	2	\xed \xed
àà$	àà/aː	wàltàà	Kanuri	1	\xe0 \xe0 $
ə̔	ə̔/ə	kə̔lâbê	Kanuri	1	\u0259 \u0314
ng	ŋ				n g
ng$	ŋ				n g $
c	tʃ	zàrí càlícálì, cócì	Kanuri	24	c
^c	tʃ	cídíyà, cídí	Kanuri	55	^ c
sh	ʃ	cókkól shélìà, kùndúlì shîmbè	Kanuri	16	s h
^sh	ʃ	shî, shí	Kanuri	33	^ s h
j	dʒ	ínjìn, nə̀mjàù	Kanuri	72	j
^j	dʒ	jâu, jàktə́	Kanuri	35	^ j
_	_	jóngò mààrá njîbè, mààrá njîbè	Kanuri	138	_
à	à/a	fàntə́, kàràùjí	Kanuri	445	\xe0
á	á/a	káláktə́, wátə́	Kanuri	467	\xe1
â	â/a	kə̀sâì, yâànà	Kanuri	78	\xe2
ǎ	ǎ/a	ádə̀gǎì, tǎttə́	Kanuri	5	\u01ce
'á	'á/a	nà'ám	Kanuri	1	' \xe1
^Á	Á/a	Álà	Kanuri	1	^ \xc1
^à	à/a	àâ, àgə̀rìtə́	Kanuri	32	^ \xe0
^á	á/a	áskə̀r, áládə̀	Kanuri	22	^ \xe1
^â	â/a	âm, âu	Kanuri	2	^ \xe2
ǎ	ǎ/a				a \u030c
à$	à/a	tásà, gà	Kanuri	243	\xe0 $
á$	á/a	kàká, gàná	Kanuri	86	\xe1 $
â$	â/a	sâ, kwâ	Kanuri	36	\xe2 $
'à$	'à/a	á'à	Kanuri	1	' \xe0 $
b	b	nzə̀mbòràm, lámbà mótàbè	Kanuri	153	b
^b	b	báttà, bî	Kanuri	117	^ b
d	d	tádà, cídíyà	Kanuri	195	d
^d	d	dátə̀à, dìò	Kanuri	92	^ d
è	è/e	lèlènó, njèzò	Kanuri	43	\xe8
é	é/e	féfétò, férò	Kanuri	69	\xe9
ê	ê/e	fêrrò kə̀mbâ, kàzêm ngámdə̀	Kanuri	13	\xea
è$	è/e	mààrá njîbè, kùndúlì dímìbè	Kanuri	67	\xe8 $
é$	é/e	wágə̀ré, cìmé	Kanuri	32	\xe9 $
ê$	ê/e	fê, kàngê	Kanuri	13	\xea $
ə̀$	ə̀/e	rádə̀, kə̀ngə́sə̀	Kanuri	53	\u0259 \u0300 $
f	f	máfì, màtàfífítò	Kanuri	32	f
^f	f	fàntə́, fê	Kanuri	87	^ f
g	g	ngótə́, ngə̀mtógóràm	Kanuri	261	g
^g	g	gà, gàná	Kanuri	59	^ g
g$	g	góngóng, wáyáng	Kanuri	3	g $
h	h	báhàr, záhìr	Kanuri	4	h
^h	h	hówùm, hòwùmtə́	Kanuri	14	^ h
ə	ə/ɨ	yəmbò	Kanuri	1	\u0259
i	i	wásàm yikko, kə̀náshîm yikko	Kanuri	2	i
ì	ì/i	ínjìn, yìntà	Kanuri	127	\xec
í	í/i	cídíyà, shíllà shítíbè	Kanuri	155	\xed
î	î/i	yînná, njîm	Kanuri	51	\xee
ə̀	ə̀/ɨ	kə̀sâì, kə̀sáì	Kanuri	249	\u0259 \u0300
ə́	ə́/ɨ	fə́lə́tə́gə́, kə́rgə́n	Kanuri	203	\u0259 \u0301
ə̂	ə̂/ɨ	kàlə̂m, fə̂r	Kanuri	10	\u0259 \u0302
əˆ	əˆ/ɨ	gə̀rəˆs	Kanuri	1	\u0259 \u02c6
^í	í/i	ínjìn, ísò	Kanuri	4	^ \xed
ì$	ì/i	kə̀sâì, kə̀sáì	Kanuri	126	\xec $
í$	í/i	cídí, kàjílí	Kanuri	86	\xed $
î$	î/i	shî, kə̀lî	Kanuri	23	\xee $
ə́$	ə́/ɨ	fàntə́, ngótə́	Kanuri	225	\u0259 \u0301 $
ə̌$	ə̌/ɨ	kə̀skə̌	Kanuri	1	\u0259 \u030c $
y	j	cídíyà, nyìyàtə́	Kanuri	69	y
^y	j	yìntà, yâànà	Kanuri	45	^ y
k	k	kàká, nə̀kə̀lmə́skə̀	Kanuri	135	k
^k	k	kə̀sâì, kə̀sáì	Kanuri	396	^ k
k$	k	nə̀mkə́də́k, fárák	Kanuri	8	k $
l	l	kə̀lî, máltə́	Kanuri	275	l
^l	l	-làn, líwùlà	Kanuri	65	^ l
l$	l	mbàl, kálkál	Kanuri	47	l $
m	m	kə̀rámì, nzə̀mbòràm	Kanuri	242	m
^m	m	máltə́, mbàl	Kanuri	65	^ m
m$	m	nzə̀mbòràm, hówùm	Kanuri	100	m $
n	n	fàntə́, góngóng	Kanuri	304	n
^n	n	ngótə́, nzə̀mbòràm	Kanuri	163	^ n
n$	n	ínjìn, -làn	Kanuri	55	n $
ny	ɲ				n y
^ny	ɲ				^ n y
ò	ò/o	nzə̀mbòràm, fátò ngúdòbè	Kanuri	110	\xf2
ó	ó/o	ngótə́, cóncón	Kanuri	105	\xf3
ô	ô/o	kàmbôì, díwò kôngwâ	Kanuri	15	\xf4
^ó	ó/o	ódà dìò	Kanuri	1	^ \xf3
ǒ	ǒ/o				o \u030c
o$	o	wásàm yikko, kə̀náshîm yikko	Kanuri	2	o $
ò$	ò/o	kùsótò, kàsò	Kanuri	122	\xf2 $
ó$	ó/o	kókkó, kə̀rmó	Kanuri	46	\xf3 $
ô$	ô/o	rô, ràtô	Kanuri	7	\xf4 $
ǒ$	ǒ/o	màsǒ	Kanuri	1	\u01d2 $
p	p	dàptə́gə́, gàpcìwùnó	Kanuri	15	p
^p	p	pòlîs, póskàt	Kanuri	2	^ p
p$	p	ájàp, klóp	Kanuri	8	p $
r	r	kə̀rámì, kùrúwù	Kanuri	340	r
^r	r	rádə̀, rô	Kanuri	26	^ r
r$	r	mùsùwár, báhàr	Kanuri	54	r $
s	s	kə̀sâì, kə̀sáì	Kanuri	74	s
^s	s	sâ, sàmî	Kanuri	85	^ s
s$	s	bàrmús, bás	Kanuri	3	s $
t	t	fàntə́, ngótə́	Kanuri	387	t
^t	t	tásà, tádà	Kanuri	101	^ t
t$	t	táwàt, póskàt	Kanuri	6	t $
u	u	kâu kə̀ráttə́ràm	Kanuri	1	u
ù	ù/u	tùngùrùmtə́, gùdùgùdú	Kanuri	144	\xf9
ú	ú/u	dúkúrkúr, kùwúì	Kanuri	187	\xfa
û	û/u	cû tà, nûrrà	Kanuri	26	\xfb
