Grapheme	IPA	Languages
^bicycle$	b aɪ s ɪ k l̩	English
^handkerchief$	h æ ŋ k ə tʃ iː f	English
^I$	aɪ	English
^eye$	aɪ	English
^owe$	əʊ	English
^arch$	ɑː tʃ	English
^all$	ɔː l	English
^awl$	ɔː l	English
^eel$	iː l	English
^arm$	ɑː m	English
^earn$	ɜː n	English
^or$	ɔː ɹ	English
^oar$	ɔː ɹ	English
^arse$	ɑː s	English
^eat$	iː t	English
^air$	ɛə ɹ	English
^ear$	ɪə ɹ	English
^itch$	ɪ tʃ	English
^age$	eɪ dʒ	English
^if$	ɪ f	English
^ill$	ɪ l	English
^oil$	ɔɪ l	English
^in$	ɪ n	English
^ice$	aɪ s	English
^it$	ɪ t	English
^eight$	eɪ t	English
^she$	ʃ iː	English
^chew$	tʃ uː	English
^shoe$	ʃ uː	English
^show$	ʃ əʊ	English
^oak$	əʊ k	English
^owl$	aʊ l	English
^own$	əʊ n	English
^oat$	əʊ t	English
^oath$	əʊ θ	English
^jaw$	dʒ ɔː	English
^up$	ʌ p	English
^ash$	æ ʃ	English
^at$	æ t	English
^be$	b iː	English
^bee$	b iː	English
^bay$	b eɪ	English
^boy$	b ɔɪ	English
^buy$	b aɪ	English
^bow$	b əʊ	English
^do$	d uː	English
^day$	d eɪ	English
^die$	d aɪ	English
^dye$	d aɪ	English
^they$	ð eɪ	English
^dough$	d əʊ	English
^edge$	ɛ dʒ	English
^egg$	ɛ g	English
^go$	g əʊ	English
^he$	h iː	English
^who?$	h uː	English
^hay$	h eɪ	English
^high$	h aɪ	English
^hoe$	h əʊ	English
^how?$	h aʊ	English
^ewe$	j uː	English
^you$	j uː	English
^key$	k iː	English
^cow$	k aʊ	English
^law$	l ɔː	English
^lie$	l aɪ	English
^low$	l əʊ	English
^mow$	m əʊ	English
^knee$	n iː	English
^no$	n əʊ	English
^now$	n aʊ	English
^know$	n əʊ	English
^pay$	p eɪ	English
^raw$	r ɔː	English
^rye$	r aɪ	English
^(sting)ray$	r eɪ	English
^row$	r əʊ	English
^saw$	s ɔː	English
^sea$	s iː	English
^see$	s iː	English
^say$	s eɪ	English
^sew$	s əʊ	English
^sow$	s əʊ	English
^tea$	t iː	English
^two$	t uː	English
^tie$	t aɪ	English
^toe$	t əʊ	English
^thigh$	θ aɪ	English
^we$	w iː	English
^way$	w eɪ	English
^why?$	w aɪ	English
^weigh$	w eɪ	English
^orphan$	ɔː f n̩	English
^eagle$	iː g l̩	English
^early$	ɜː l ɪ	English
^army$	ɑː m ɪ	English
^aunt$	ɑː n t	English
^arson$	ɑː s n̩	English
^ask$	ɑː s k	English
^east$	iː s t	English
^easy$	iː z ɪ	English
^obey$	ə b eɪ	English
^allow$	ə l aʊ	English
^iron$	aɪ ə n	English
^idol$	aɪ d l̩	English
^idea$	aɪ d ɪə	English
^church$	tʃ ɜː tʃ	English
^cheek$	tʃ iː k	English
^shark$	ʃ ɑː k	English
^cheap$	tʃ iː p	English
^sharp$	ʃ ɑː p	English
^sheep$	ʃ iː p	English
^sure$	ʃ ɔː ɹ	English
^shore$	ʃ ɔː ɹ	English
^shirt$	ʃ ɜː t	English
^shoot$	ʃ uː t	English
^short$	ʃ ɔː t	English
^cheese$	tʃ iː z	English
^choose$	tʃ uː z	English
^chair$	tʃ ɛə ɹ	English
^share$	ʃ ɛə ɹ	English
^shears$	ʃ ɪə z	English
^shade$	ʃ eɪ d	English
^shake$	ʃ eɪ k	English
^shame$	ʃ eɪ m	English
^chin$	tʃ ɪ n	English
^chain$	tʃ eɪ n	English
^shine$	ʃ aɪ n	English
^ship$	ʃ ɪ p	English
^chase$	tʃ eɪ s	English
^shit$	ʃ ɪ t	English
^choke$	tʃ əʊ k	English
^shout$	ʃ aʊ t	English
^shut$	ʃ ʌ t	English
^chop$	tʃ ɒ p	English
^shop$	ʃ ɒ p	English
^shed$	ʃ ɛ d	English
^shell$	ʃ ɛ l	English
^hour$	aʊ ə ɹ	English
^ocean$	əʊ ʃ n̩	English
^old$	əʊ l d	English
^join$	dʒ ɔɪ n	English
^judge$	dʒ ʌ dʒ	English
^jug$	dʒ ʌ g	English
^oven$	ʌ v n̩	English
^adze$	æ d z	English
^axe$	æ k s	English
^and$	æ n d	English
^ant$	æ n t	English
^arrow$	æ r əʊ	English
^often$	ɒ f n̩	English
^ox$	ɒ k s	English
^beech$	b iː tʃ	English
^birch$	b ɜː tʃ	English
^bead$	b iː d	English
^bird$	b ɜː d	English
^board$	b ɔː d	English
^bark$	b ɑː k	English
^beak$	b iː k	English
^ball$	b ɔː l	English
^beam$	b iː m	English
^bean$	b iː n	English
^burn$	b ɜː n	English
^boar$	b ɔː ɹ	English
^bore$	b ɔː ɹ	English
^beat$	b iː t	English
^boot$	b uː t	English
^beard$	b ɪə d	English
^bear$	b ɛə ɹ	English
^beer$	b ɪə ɹ	English
^bathe$	b eɪ ð	English
^big$	b ɪ g	English
^bake$	b eɪ k	English
^bill$	b ɪ l	English
^boil$	b ɔɪ l	English
^bait$	b eɪ t	English
^bite$	b aɪ t	English
^book$	b ʊ k	English
^bowl$	b əʊ l	English
^bull$	b ʊ l	English
^bone$	b əʊ n	English
^boat$	b əʊ t	English
^bus$	b ʌ s	English
^bad$	b æ d	English
^bag$	b æ g	English
^back$	b æ k	English
^bat$	b æ t	English
^bomb$	b ɒ m	English
^bed$	b ɛ d	English
^blue$	b l uː	English
^blow$	b l əʊ	English
^dark$	d ɑː k	English
^dawn$	d ɔː n	English
^deep$	d iː p	English
^door$	d ɔː ɹ	English
^dare$	d ɛə ɹ	English
^deer$	d ɪə ɹ	English
^there$	ð ɛə ɹ	English
^dish$	d ɪ ʃ	English
^ditch$	d ɪ tʃ	English
^dig$	d ɪ g	English
^this$	ð ɪ s	English
^dive$	d aɪ v	English
^down$	d aʊ n	English
^doubt$	d aʊ t	English
^duck$	d ʌ k	English
^dull$	d ʌ l	English
^dove$	d ʌ v	English
^that$	ð æ t	English
^dog$	d ɒ g	English
^dead$	d ɛ d	English
^deaf$	d ɛ f	English
^debt$	d ɛ t	English
^dew$	d j uː	English
^dry$	d r aɪ	English
^elf$	ɛ l f	English
^elk$	ɛ l k	English
^end$	ɛ n d	English
^forge$	f ɔː dʒ	English
^food$	f uː d	English
^fork$	f ɔː k	English
^fall$	f ɔː l	English
^feel$	f iː l	English
^far$	f ɑː ɹ	English
^fir$	f ɜː ɹ	English
^fur$	f ɜː ɹ	English
^four$	f ɔː ɹ	English
^fart$	f ɑː t	English
^fear$	f ɪə ɹ	English
^fish$	f ɪ ʃ	English
^fig$	f ɪ g	English
^fin$	f ɪ n	English
^fine$	f aɪ n	English
^face$	f eɪ s	English
^fight$	f aɪ t	English
^five$	f aɪ v	English
^foal$	f əʊ l	English
^full$	f ʊ l	English
^foam$	f əʊ m	English
^foot$	f ʊ t	English
^fuck$	f ʌ k	English
^fan$	f æ n	English
^fat$	f æ t	English
^fog$	f ɒ g	English
^few$	f j uː	English
^flea$	f l iː	English
^flee$	f l iː	English
^fly$	f l aɪ	English
^flow$	f l əʊ	English
^fry$	f r aɪ	English
^guard$	g ɑː d	English
^girl$	g ɜː l	English
^goose$	g uː s	English
^gourd$	g ʊə d	English
^gill$	g ɪ l	English
^gate$	g eɪ t	English
^give$	g ɪ v	English
^good$	g ʊ d	English
^goat$	g əʊ t	English
^(sea)gull$	g ʌ l	English
^gun$	g ʌ n	English
^god$	g ɒ d	English
^guess$	g ɛ s	English
^get$	g ɛ t	English
^glue$	g l uː	English
^grow$	g r əʊ	English
^hard$	h ɑː d	English
^half$	h ɑː f	English
^hawk$	h ɔː k	English
^hall$	h ɔː l	English
^heal$	h iː l	English
^heel$	h iː l	English
^harm$	h ɑː m	English
^horn$	h ɔː n	English
^horse$	h ɔː s	English
^hurt$	h ɜː t	English
^heart$	h ɑː t	English
^hair$	h ɛə ɹ	English
^hare$	h ɛə ɹ	English
^hear$	h ɪə ɹ	English
^here$	h ɪə ɹ	English
^hide$	h aɪ d	English
^hill$	h ɪ l	English
^hip$	h ɪ p	English
^hit$	h ɪ t	English
^hate$	h eɪ t	English
^hive$	h aɪ v	English
^hook$	h ʊ k	English
^hole$	h əʊ l	English
^howl$	h aʊ l	English
^hope$	h əʊ p	English
^house$	h aʊ z	English
^hug$	h ʌ g	English
^hut$	h ʌ t	English
^hang$	h æ ŋ	English
^hat$	h æ t	English
^have$	h æ v	English
^hot$	h ɒ t	English
^head$	h ɛ d	English
^hell$	h ɛ l	English
^hen$	h ɛ n	English
^yard$	j ɑː d	English
^yawn$	j ɔː n	English
^year$	j ɪə ɹ	English
^yoke$	j əʊ k	English
^yolk$	j əʊ k	English
^young$	j ʌ ŋ	English
^yam$	j æ m	English
^yes$	j ɛ s	English
^calf$	k ɑː f	English
^call$	k ɔː l	English
^calm$	k ɑː m	English
^corn$	k ɔː n	English
^keep$	k iː p	English
^car$	k ɑː ɹ	English
^curse$	k ɜː s	English
^cart$	k ɑː t	English
^court$	k ɔː t	English
^carve$	k ɑː v	English
^cause$	k ɔː z	English
^king$	k ɪ ŋ	English
^kid$	k ɪ d	English
^kick$	k ɪ k	English
^kill$	k ɪ l	English
^coin$	k ɔɪ n	English
^cape$	k eɪ p	English
^kiss$	k ɪ s	English
^cave$	k eɪ v	English
^cook$	k ʊ k	English
^comb$	k əʊ m	English
^cone$	k əʊ n	English
^coat$	k əʊ t	English
^come$	k ʌ m	English
^cup$	k ʌ p	English
^cut$	k ʌ t	English
^catch$	k æ tʃ	English
^cap$	k æ p	English
^cat$	k æ t	English
^cough$	k ɒ f	English
^cock$	k ɒ k	English
^claw$	k l ɔː	English
^clay$	k l eɪ	English
^cry$	k r aɪ	English
^crow$	k r əʊ	English
^larch$	l ɑː tʃ	English
^large$	l ɑː dʒ	English
^lead$	l iː d	English
^leaf$	l iː f	English
^laugh$	l ɑː f	English
^loom$	l uː m	English
^learn$	l ɜː n	English
^leave$	l iː v	English
^lose$	l uː z	English
^life$	l aɪ f	English
^lake$	l eɪ k	English
^lick$	l ɪ k	English
^line$	l aɪ n	English
^lip$	l ɪ p	English
^late$	l eɪ t	English
^light$	l aɪ t	English
^live$	l ɪ v	English
^loud$	l aʊ d	English
^look$	l ʊ k	English
^louse$	l aʊ s	English
^lung$	l ʌ ŋ	English
^(good)_luck$	l ʌ k	English
^love$	l ʌ v	English
^long$	l ɒ ŋ	English
^latch$	l æ tʃ	English
^lamb$	l æ m	English
^lock$	l ɒ k	English
^leg$	l ɛ g	English
^mead$	m iː d	English
^meal$	m iː l	English
^mean$	m iː n	English
^moon$	m uː n	English
^more$	m ɔː ɹ	English
^moose$	m uː s	English
^meat$	m iː t	English
^meet$	m iː t	English
^move$	m uː v	English
^midge$	m ɪ dʒ	English
^make$	m eɪ k	English
^male$	m eɪ l	English
^mill$	m ɪ l	English
^miss$	m ɪ s	English
^maize$	m eɪ z	English
^mouth$	m aʊ θ	English
^mouse$	m aʊ z	English
^mud$	m ʌ d	English
^match$	m æ tʃ	English
^mad$	m æ d	English
^man$	m æ n	English
^mat$	m æ t	English
^need$	n iː d	English
^knead$	n iː d	English
^kneel$	n iː l	English
^noon$	n uː n	English
^niece$	n iː s	English
^nurse$	n ɜː s	English
^north$	n ɔː θ	English
^near$	n ɪə ɹ	English
^knife$	n aɪ f	English
^nail$	n eɪ l	English
^(finger)nail$	n eɪ l	English
^name$	n eɪ m	English
^nine$	n aɪ n	English
^nape$	n eɪ p	English
^nit$	n ɪ t	English
^night$	n aɪ t	English
^nose$	n əʊ z	English
^nut$	n ʌ t	English
^gnat$	n æ t	English
^not$	n ɒ t	English
^knot$	n ɒ t	English
^neck$	n ɛ k	English
^new$	n j uː	English
^peel$	p iː l	English
^palm$	p ɑː m	English
^poor$	p ɔː ɹ	English
^pour$	p ɔː ɹ	English
^peace$	p iː s	English
^piece$	p iː s	English
^part$	p ɑː t	English
^port$	p ɔː t	English
^path$	p ɑː θ	English
^pair$	p ɛə ɹ	English
^pig$	p ɪ g	English
^pill$	p ɪ l	English
^pin$	p ɪ n	English
^pain$	p eɪ n	English
^pine$	p aɪ n	English
^pipe$	p aɪ p	English
^piss$	p ɪ s	English
^push$	p ʊ ʃ	English
^pull$	p ʊ l	English
^put$	p ʊ t	English
^pus$	p ʌ s	English
^pan$	p æ n	English
^pot$	p ɒ t	English
^peg$	p ɛ g	English
^pen$	p ɛ n	English
^play$	p l eɪ	English
^plough$	p l aʊ	English
^pray$	p r eɪ	English
^reef$	r iː f	English
^roof$	r uː f	English
^rule$	r uː l	English
^room$	r uː m	English
^root$	r uː t	English
^ring$	r ɪ ŋ	English
^rich$	r ɪ tʃ	English
^rib$	r ɪ b	English
^ride$	r aɪ d	English
^rake$	r eɪ k	English
^rain$	r eɪ n	English
^rape$	r eɪ p	English
^ripe$	r aɪ p	English
^rice$	r aɪ s	English
^right$	r aɪ t	English
^write$	r aɪ t	English
^rise$	r aɪ z	English
^raise$	r eɪ z	English
^road$	r əʊ d	English
^roll$	r əʊ l	English
^rope$	r əʊ p	English
^rub$	r ʌ b	English
^rough$	r ʌ f	English
^rug$	r ʌ g	English
^run$	r ʌ n	English
^wrong$	r ɒ ŋ	English
^rag$	r æ g	English
^ram$	r æ m	English
^wrap$	r æ p	English
^rat$	r æ t	English
^rock$	r ɒ k	English
^red$	r ɛ d	English
^read$	r ɛ d	English
^seed$	s iː d	English
^sword$	s ɔː d	English
^seek$	s iː k	English
^seem$	s iː m	English
^soon$	s uː n	English
^soup$	s uː p	English
^sore$	s ɔː ɹ	English
^cease$	s iː s	English
^sing$	s ɪ ŋ	English
^side$	s aɪ d	English
^scythe$	s aɪ ð	English
^sick$	s ɪ k	English
^sail$	s eɪ l	English
^soil$	s ɔɪ l	English
^same$	s eɪ m	English
^sit$	s ɪ t	English
^sieve$	s ɪ v	English
^soul$	s əʊ l	English
^soap$	s əʊ p	English
^south$	s aʊ θ	English
^suck$	s ʌ k	English
^some$	s ʌ m	English
^son$	s ʌ n	English
^sun$	s ʌ n	English
^song$	s ɒ ŋ	English
^sap$	s æ p	English
^sock$	s ɒ k	English
^sell$	s ɛ l	English
^sky$	s k aɪ	English
^slow$	s l əʊ	English
^snow$	s n əʊ	English
^stay$	s t eɪ	English
^teach$	t iː tʃ	English
^torch$	t ɔː tʃ	English
^talk$	t ɔː k	English
^tall$	t ɔː l	English
^tool$	t uː l	English
^turn$	t ɜː n	English
^teat$	t iː t	English
^tooth$	t uː θ	English
^tear$	t ɛə ɹ	English
^tide$	t aɪ d	English
^take$	t eɪ k	English
^tick$	t ɪ k	English
^tail$	t eɪ l	English
^time$	t aɪ m	English
^tin$	t ɪ n	English
^town$	t aʊ n	English
^tongue$	t ʌ ŋ	English
^touch$	t ʌ tʃ	English
^tan$	t æ n	English
^tap$	t æ p	English
^top$	t ɒ p	English
^tell$	t ɛ l	English
^ten$	t ɛ n	English
^third$	θ ɜː d	English
^thief$	θ iː f	English
^thing$	θ ɪ ŋ	English
^thick$	θ ɪ k	English
^thin$	θ ɪ n	English
^thumb$	θ ʌ m	English
^thatch$	θ æ tʃ	English
^three$	θ r iː	English
^through$	θ r uː	English
^throw$	θ r əʊ	English
^tree$	t r iː	English
^true$	t r uː	English
^try$	t r aɪ	English
^veil$	v eɪ l	English
^vein$	v eɪ n	English
^vine$	v aɪ n	English
^voice$	v ɔɪ s	English
^word$	w ɜː d	English
^walk$	w ɔː k	English
^weak$	w iː k	English
^week$	w iː k	English
^work$	w ɜː k	English
^wall$	w ɔː l	English
^wheel$	w iː l	English
