Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ɔ̂	ɔ̂/ɔ	khɔ̂ŋcay, pàakchɔ̂ŋkhlɔ̂ɔt	Thai	57	\u0254 \u0302
ɔ̌	ɔ̌/ɔ	sɔ̌ɔ, khɔ̌ɔthaan	Thai	28	\u0254 \u030c
o$	o	kháo, rao	Thai	52	o $
ɔ$	ɔ	châŋpânmɔ̂ɔ, hɔ̀ɔ	Thai	14	\u0254 $
ó$	ó/o	tó	Thai	1	\xf3 $
ɔ̀$	ɔ̀/ɔ	kɔ̀, krɔ̀	Thai	3	\u0254 \u0300 $
ɔ́$	ɔ́/ɔ	thalɔ́, phɔ́	Thai	4	\u0254 \u0301 $
p	p	mansǎmpalǎŋ, wâaŋplàaw	Thai	48	p
^p	p	plàaw, pâa	Thai	108	^ p
p$	p	kèp, càp	Thai	80	p $
^pl	p				^ p l
^pr	p				^ p r
r	r	khrɔ́ráay, khrʉ̂aŋpradàp	Thai	210	r
^r	r	rao, ráksǎa	Thai	90	^ r
s	s	yaasùup, pasùsàt	Thai	40	s
ŋs	ŋs	nɔ́ɔŋsǎaw, sǒŋsǎy	Thai	13	\u014b s
^s	s	sǐa, sǐaŋ	Thai	164	^ s
ks	ks	lûuksapháy, ráksǎa	Thai	19	k s
ns	ns	lǎansǎaw, mansǎmpalǎŋ	Thai	9	n s
ts	ts	khwaamrítsayǎa, khamtàtsǐn	Thai	16	t s
t	t	phìtlûukphìtmia, rátthamontrii	Thai	100	t
^t	t	too, taay	Thai	87	^ t
t$	t	phát, phìt	Thai	200	t $
tt	tt	phâachéttua, páttìk	Thai	10	t t
^tr	t				^ t r
u	u	lûukbuntham, luŋ	Thai	133	u
ʉ	ʉ	mʉaŋ, dʉan	Thai	39	\u0289
ù	ù/u	yùu, plùuk	Thai	79	\xf9
ú	ú/u	thúp, múk	Thai	19	\xfa
û	û/u	nûat, lûuksapháy	Thai	76	\xfb
ǔ	ǔ/u	thǔu, sǔay	Thai	35	\u01d4
ʉ̀	ʉ̀/ʉ	plʉ̀ak, ŋʉ̀ak	Thai	30	\u0289 \u0300
ʉ́	ʉ́/ʉ	nʉ́a, mʉ́ʉ	Thai	15	\u0289 \u0301
ʉ̂	ʉ̂/ʉ	khʉ̂n, khlʉ̂ʉn	Thai	43	\u0289 \u0302
ʉ̌	ʉ̌/ʉ	nʉ̌a, thʉ̌ŋ	Thai	13	\u0289 \u030c
u$	u	yùu, sabùu	Thai	26	u $
ʉ$	ʉ	mʉ́ʉ, khʉ̀ʉ	Thai	9	\u0289 $
ù$	ù/u	càtù	Thai	1	\xf9 $
ú$	ú/u	phaayú, weelú	Thai	9	\xfa $
ʉ̀$	ʉ̀/ʉ	?ʉ̀	Thai	1	\u0289 \u0300 $
w	w	tawan, thǎowan	Thai	35	w
^w	w	wua, wâaŋplàaw	Thai	42	^ w
w$	w	plàaw, lǎansǎaw	Thai	66	w $
ŋŋ	ŋ ŋ	tàeŋŋaan, rooŋŋaan	Thai	4	\u014b \u014b
ŋh	ŋ h	hìŋhɔ̂y, lɔ̂ŋhǒn	Thai	4	\u014b h
ŋw	ŋ w	sǎŋwəəy, waŋwon	Thai	7	\u014b w
âw$	â/a w	câw	Thai	1	\xe2 w $
^khw	kʰ w	khwǎan, khwǎa	Thai	23	^ k h w
ìs	ì/i s	patìsèet, patìséet	Thai	3	\xec s
ǐw	ǐ/i w	hǐwnáam	Thai	1	\u01d0 w
ìw$	ì/i w	sìw	Thai	1	\xec w $
ǐw$	ǐ/i w	hǐw, chǐw	Thai	2	\u01d0 w $
kw	k w	mâakkwàa, máaykwàat	Thai	3	k w
mh	m h	tûmhǔu, khamhâykaanthét	Thai	3	m h
mm	m m	buummaraeaeŋ, yǐŋŋaammʉaŋ	Thai	5	m m
ms	m s	sǒmsèt, khamsǎabaan	Thai	2	m s
nn	n n	wanníi, laannûatkhâaw	Thai	8	n n
nw	n w	phàendinwǎy	Thai	1	n w
pp	p p	rûuppân	Thai	1	p p
ps	p s	sìpsɔ̌ɔŋ, sàapsǔun	Thai	2	p s
ùs	ù/u s	pasùsàt, ?ùsǎa	Thai	3	\xf9 s
ùw	ù/u w	sùwaan	Thai	1	\xf9 w
wh	w h	khamklàawhǎa, klàawhǎa	Thai	4	w h
^dinfáa-aakàat$	d i n f áa/aː + aː k àa/aː t	dinfáa-aakàat	Thai	1	^ d i n f \xe1 a - a a k \xe0 a t $
