Grapheme	IPA	SCA	LANGUAGES	FREQUENCY	EXAMPLES	CODEPOINTS
^	NULL		NULL	0		NULL
$	NULL			2	múu_(ná);làmbàtûu	U+0024
(	NULL			1	múu_(ná)	U+0028
)	NULL			1	múu_(ná)	U+0029
^à$	à/a	A	Hausa	1	à	U+005E U+00E0 U+0024
^íi$	íi/iː	I		1	íi	U+005E U+00ED U+0069 U+0024
^mântáa$	m â/a n t áa/aː	M A N T A		1	mântáa	U+005E U+006D U+00E2 U+006E U+0074 U+00E1 U+0061 U+0024
^màr̃tȏo$	m à/a r t ȏo/oː	M A R T U		1	màr̃tȏo	U+005E U+006D U+00E0 U+0072 U+0303 U+0074 U+020F U+006F U+0024
^bà.....bá$	b à/a _ b á/a	P A _ P A		1	bà.....bá	U+005E U+0062 U+00E0 U+002E U+002E U+002E U+002E U+002E U+0062 U+00E1 U+0024
a	a	A	Hausa	5	yíi_wà_wani_ràuníi;àl'áadàa;gàyyatàa;ƴar̃_wâa_or_ɗan_wâa;ƴar̃_wâa_or_ɗan_wâa	U+0061
à	à/a	A	Hausa	393	tàɓóo;ígíyàr̃_rúwáa;fàdámàa;gìgízàr̃_ƙásáa;tàuràaróo	U+00E0
á	á/a	A	Hausa	639	ƙásáa;ƙásáa;ƙásáa;tsáunìi;háyìi	U+00E1
â	â/a	A	Hausa	47	ƙyânwáa;yânyáawàa;àmóosànín_kâi;kâi;dà_râi	U+00E2
^A	A/a	A	Hausa	1	Allàh	U+005E U+0041
^À	À/a	A	Hausa	1	Àlhàmîs	U+005E U+00C0
^à	à/a	A	Hausa	61	àr̃áadùu;àuráa;àládèe;àkwíyàa;àlfádàr̃íi	U+005E U+00E0
^á	á/a	A	Hausa	26	áurée;ángòo;ámáríyáa;ábbàaníi;ágòolà	U+005E U+00E1
a$	a	A	Hausa	9	yána$yìi;sáa'àa;sáa'àa;ráshìn_sáa'àa;áa'àa	U+0061 U+0024
à$	à/a	A	Hausa	49	sámà;báabà;ágòolà;dàláalà;líkítà	U+00E0 U+0024
àa	àa/aː	A		129	yàashíi;ràafíi;bàakín_ruwaa;ràaƙúmín_rúwáa;ítàacée	U+00E0 U+0061
á$	á/a	A	Hausa	32	ítá;àgwàagwá;bàakín_màamá;nùuná;zámá	U+00E1 U+0024
áa	áa/aː	A		273	gáaɓàa;dáajìi;ráanáa;tsáawáa;àr̃áadùu	U+00E1 U+0061
âa	âa/aː	A		6	àlbâashíi;shâa_ɗáyá;shâa_bíyú;shâa_bìyár̃;bâa_kyâu	U+00E2 U+0061
