Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
-	+	-pi, -lla	Imbabura Quechua	9	-
f	ɸ	uchufa, kafé	Imbabura Quechua	15	f
^f	ɸ	fakina, fuyu	Imbabura Quechua	19	^ f
n$	ŋ	jatun, ñan	Imbabura Quechua	39	n $
ch	tʃ	wañuchina, punchalla	Imbabura Quechua	151	c h
sh	ʃ	wañushka, kushni	Imbabura Quechua	84	s h
^ch	tʃ	chita, changa	Imbabura Quechua	55	^ c h
^sh	ʃ	shimi, shuwak	Imbabura Quechua	24	^ s h
sh$	ʃ	ñapash, -pash	Imbabura Quechua	3	s h $
ll	ʒ	punchalla, allpa	Imbabura Quechua	110	l l
zh	ʒ	jwizhu	Imbabura Quechua	1	z h
^ll	ʒ	llaki, llama	Imbabura Quechua	33	^ l l
lll	ʒ	kailllalla	Imbabura Quechua	1	l l l
_	_	kayna chay shuk puncha, mana ali rimak	Imbabura Quechua	124	_
a	a	sachaguagra, mama llakta	Imbabura Quechua	920	a
á	á/a	alakrán	Imbabura Quechua	1	\xe1
^a	a	allpa, apuk	Imbabura Quechua	103	^ a
a$	a	punchalla, wagra	Imbabura Quechua	624	a $
b	b	pamba, tabaku	Imbabura Quechua	79	b
^b	b	bitsijana, biga	Imbabura Quechua	43	^ b
^v	β	vira	Imbabura Quechua	2	^ v
c	c	mircules, pascana	Imbabura Quechua	3	c
d	d	didu, azadun	Imbabura Quechua	64	d
^d	d	didu, dirichu	Imbabura Quechua	10	^ d
e	e	tenedur, serbisa	Imbabura Quechua	20	e
^e	e	elefanti	Imbabura Quechua	1	^ e
e$	e	nigusyante, te	Imbabura Quechua	2	e $
é$	é/e	kafé	Imbabura Quechua	1	\xe9 $
g	g	sachaguagra, wagra	Imbabura Quechua	80	g
^g	g	garsa, gushtana	Imbabura Quechua	7	^ g
i	i	mutijina, bitsijana	Imbabura Quechua	594	i
í	í/i	pilíkula	Imbabura Quechua	1	\xed
^i	i	iglizya, ima pacha	Imbabura Quechua	34	^ i
i$	i	shimi, llaki	Imbabura Quechua	134	i $
y	j	tiya, kayllayana	Imbabura Quechua	116	y
^y	j	yachajuna, yaku wambuy	Imbabura Quechua	48	^ y
y$	j	pay, yaku wambuy	Imbabura Quechua	37	y $
k	k	llaki, wañushka	Imbabura Quechua	261	k
^k	k	kaspi, kara	Imbabura Quechua	154	^ k
k$	k	apuk, ñukanchik	Imbabura Quechua	30	k $
l	l	kulki, pilchi	Imbabura Quechua	112	l
^l	l	lulun, lichi	Imbabura Quechua	19	^ l
l$	l	animal, karsil	Imbabura Quechua	9	l $
m	m	shimi, ñawi milma	Imbabura Quechua	144	m
^m	m	mutijina, mikuna	Imbabura Quechua	96	^ m
n	n	shungunchina, punchalla	Imbabura Quechua	542	n
ñ	ɲ	wañuchina, wañushka	Imbabura Quechua	27	\xf1
^n	n	nina, nanaima	Imbabura Quechua	10	^ n
^ñ	ɲ	ñan, ñawi milma	Imbabura Quechua	23	^ \xf1
o	o	koku, umbrospi markana	Imbabura Quechua	4	o
ó	ó/o	liyón	Imbabura Quechua	1	\xf3
o$	o	impwesto, dumingo	Imbabura Quechua	2	o $
^o$	o	o	Imbabura Quechua	1	^ o $
p	p	ñaupashpa apana, allpa	Imbabura Quechua	119	p
^p	p	pay, pamba	Imbabura Quechua	100	^ p
q	q	piqui, kuriquinga	Imbabura Quechua	3	q
