Grapheme	IPA	SCA	LANGUAGES	FREQUENCY	EXAMPLES	CODEPOINTS
^	NULL			6	-diŋta;-qan;-sin;-an;-bes	U+005E
$	NULL			11	ī;ū;ā;ā;qaˀ	U+0024
^a$	a	A	Ket	1	a	U+005E U+0061 U+0024
^ē$	ē/e	E	Ket	1	ē	U+005E U+0113 U+0024
^eˀ$	eˀ	E	Ket	1	eˀ	U+005E U+0065 U+02C0 U+0024
^əə$	əː	E	Ket	1	əə	U+005E U+0259 U+0259 U+0024
^i$	i	I	Ket	1	i	U+005E U+0069 U+0024
^ii$	iː	I	Ket	2	ii;ii	U+005E U+0069 U+0069 U+0024
^iˀ$	iˀ	I	Ket	3	iˀ;iˀ;iˀ	U+005E U+0069 U+02C0 U+0024
^uu$	uː	Y	Ket	2	uu;uu	U+005E U+0075 U+0075 U+0024
^às$	à/a s	A S	Ket	1	às	U+005E U+00E0 U+0073 U+0024
^ās$	ā/a s	A S	Ket	1	ās	U+005E U+0101 U+0073 U+0024
^ēs$	ē/e s	E S	Ket	4	ēs;ēs;ēs;ēs	U+005E U+0113 U+0073 U+0024
^īs$	ī/i s	I S	Ket	2	īs;īs	U+005E U+012B U+0073 U+0024
^ùs$	ù/u s	Y S	Ket	1	ùs	U+005E U+00F9 U+0073 U+0024
^peršep$	p e r ʃ e p	P E R S E P		2	peršep;peršep	U+005E U+0070 U+0065 U+0072 U+0161 U+0065 U+0070 U+0024
a	a	A	Ket	399	hənaŋ;embaŋ;ulbaŋt;uldʌptaŋbaŋ;uldʌptaŋbaŋ	U+0061
à	à/a	A	Ket	18	qà_hiɣbisep;qà_qimbisep;qàl;qàl;hàŋ	U+00E0
ā	ā/a	A	Ket	16	qār;qār;bāt;dest_qār;dāp	U+0101
^a	a	A	Ket	67	altəq;anbok;areŋ;aqqot;amaŋ	U+005E U+0061
^à	à/a	A	Ket	4	àr;àŋ;àq;àq	U+005E U+00E0
^ā	ā/a	A	Ket	7	ām;āt;āmd_hɯ̄j;ā;ā	U+005E U+0101
a$	a	A	Ket	96	mora;mora;kəlta;piska;badba	U+0061 U+0024
aa	aː	A	Ket	17	baat;baam;sēl_daan;daan;saar	U+0061 U+0061
aˀ	aˀ	A	Ket	35	baˀŋ;baˀŋ;qaˀj;baˀŋ;sest_baˀŋ	U+0061 U+02C0
^aa	aː	A	Ket	3	aal;aas;aaŋ	U+005E U+0061 U+0061
^aˀ	aˀ	A		4	aˀq;aˀt;aˀt;aˀq	U+005E U+0061 U+02C0
v	v	B	Ket	16	ovaŋ;qovet;qovetat;lekarsvo;lovet	U+0076
^v	v	B	Ket	1	vrag	U+005E U+0076
ts	ts	C	Ket	1	bitsa	U+0074 U+0073
e	e	E	Ket	252	sest_baˀŋ;telɣil;deŋniŋ;ulteɣin;hɯssej	U+0065
è	è/e	E	Ket	9	sèl;bèr;bèr;bèr;bèr	U+00E8
ē	ē/e	E	Ket	13	qaˀ_bēj;bēj;tēt;tēt;tēm	U+0113
ə	ə	E	Ket	79	altəq;hənaŋ;kəns;kəlta;həna_hiɣbisep	U+0259
ʌ	ʌ	E	Ket	1	uldʌptaŋbaŋ	U+028C
^e	e	E	Ket	46	embaŋ;ekkinna_boˀk;ekŋ;ekkinna_boˀk;espul	U+005E U+0065
^è	è/e	E	Ket	8	èn;èn;èn;èn;èj	U+005E U+00E8
^ē	ē/e	E	Ket	8	ēj;ēj;ēj;ēt;ēn	U+005E U+0113
^ə	ə	E	Ket	14	əlel_bisep;əʁaj_bataŋ;ətna_deˀŋ;ətna_deˀŋ;əld_ol	U+005E U+0259
e$	e	E	Ket	9	ogde;sagde;qəɣe;ugde;qaɣan_seste	U+0065 U+0024
eˀ	eˀ	E	Ket	27	beˀt;keˀt;keˀt;beˀp;beˀp	U+0065 U+02C0
ə$	ə	E	Ket	2	ogə;ɯɯltə	U+0259 U+0024
əə	əː	E	Ket	3	qəəl;səət;təəl	U+0259 U+0259
əˀ	əˀ	E	Ket	16	təˀs;kəˀt;bəˀn;qəˀn;təˀq	U+0259 U+02C0
ə̀	ə̀/ə	E	Ket	2	də̀j;bə̀ɣ	U+0259 U+0300
ə̄	ə̄/ə	E	Ket	9	qə̄nt;tə̄ŋ;kə̄qt;kə̄qt;bə̄n_daqŋ	U+0259 U+0304
^ee	eː	E	Ket	1	eeboks	U+005E U+0065 U+0065
^eˀ	eˀ	E	Ket	3	eˀj;eˀp;eˀk	U+005E U+0065 U+02C0
^əə	əː	E	Ket	3	əəlsin;əəntet;əət	U+005E U+0259 U+0259
^əˀ	əˀ	E	Ket	3	əˀl;əˀl;əˀk	U+005E U+0259 U+02C0
^ə̀	ə̀/ə	E	Ket	2	ə̀ɣ;ə̀ɣ	U+005E U+0259 U+0300
^ə̄	ə̄/ə	E	Ket	9	ə̄n;ə̄t;ə̄t;ə̄t;ə̄k	U+005E U+0259 U+0304
eˀ$	eˀ	E	Ket	3	deˀ;deˀ;taɣəm_eˀ	U+0065 U+02C0 U+0024
əə$	əː	E	Ket	6	həə;həə;həə;həə;səə	U+0259 U+0259 U+0024
əˀ$	əˀ	E	Ket	1	təˀ	U+0259 U+02C0 U+0024
ɣ	ɣ	G	Ket	52	telɣil;ulteɣin;daŋtaɣan;kiɣet;hiɣbisep	U+0263
ɣ$	ɣ	G	Ket	10	hīɣ;ə̀ɣ;utiɣ;tìɣ;ə̄ɣ	U+0263 U+0024
h	h	H	Ket	5	qà_hiɣbisep;həna_hiɣbisep;āmd_hɯ̄j;iŋɢust_hāt;qima_haj_qīp	U+0068
^h	h	H	Ket	84	huˀs;hənaŋ;hɯssej;hīɣ;higdɯl	U+005E U+0068
i	i	I	Ket	224	telɣil;deŋniŋ;ulteɣin;ekkinna_boˀk;ekkinna_boˀk	U+0069
ì	ì/i	I	Ket	9	tìɣ;akil_ìt;sìj;tìr;kìt	U+00EC
ī	ī/i	I	Ket	29	sīn;qīp;qīm;hīɣ;qīm	U+012B
ɯ	ɯ	I	Ket	35	qaʁɯn;hɯssej;higdɯl;qimdɯl;hɯtet	U+026F
^i	i	I	Ket	40	inoʁat;isaŋtij;iŋolt;ittas;ittas	U+005E U+0069
^ì	ì/i	I	Ket	6	ìt;ìn;ìn;ìr;ìn	U+005E U+00EC
^ī	ī/i	I	Ket	6	ī;īm;īm;īn;īt	U+005E U+012B
^ɯ	ɯ	I	Ket	12	ɯsul;ɯnamas_bisep;ɯkkon;ɯlga;ɯlga	U+005E U+026F
i$	i	I	Ket	2	qogdi;ili	U+0069 U+0024
ii	iː	I	Ket	6	siin;siisto;qiil;kiit;siik	U+0069 U+0069
iˀ	iˀ	I	Ket	9	hiˀs;kiˀs;kiˀs;kiˀt;kiˀt	U+0069 U+02C0
ī$	ī/i	I	Ket	3	nī;sī;kī	U+012B U+0024
ɯˀ	ɯˀ	I	Ket	8	hɯˀp;hɯˀj;bɯˀs;kɯˀŋ;hɯˀŋ	U+026F U+02C0
ɯ̀	ɯ̀/ɯ	I	Ket	3	qɯ̀r;qɯ̀r;hɯ̀s	U+026F U+0300
ɯ̄	ɯ̄/ɯ	I	Ket	24	dɯ̄l;dɯ̄l;dɯ̄l;kɯ̄l;qɯ̄t	U+026F U+0304
^iˀ	iˀ	I	Ket	6	iˀs;iˀn;iˀl;iˀl;iˀl	U+005E U+0069 U+02C0
^ɯɯ	ɯː	I	Ket	3	ɯɯl;ɯɯltə;ɯɯt	U+005E U+026F U+026F
^ɯˀ	ɯˀ	I	Ket	1	ɯˀk	U+005E U+026F U+02C0
^ɯ̀	ɯ̀/ɯ	I	Ket	3	ɯ̀s;ɯ̀r;ɯ̀n	U+005E U+026F U+0300
^ɯ̄	ɯ̄/ɯ	I	Ket	4	ɯ̄ks;ɯ̄n;ɯ̄n;ɯ̄n	U+005E U+026F U+0304
ii$	iː	I	Ket	2	tii;bii	U+0069 U+0069 U+0024
iˀ$	iˀ	I	Ket	17	diˀ;diˀ;diˀ;kiˀ;diˀ	U+0069 U+02C0 U+0024
ɯɯ$	ɯː	I	Ket	1	sɯɯ	U+026F U+026F U+0024
ɯˀ$	ɯˀ	I	Ket	1	dɯˀ	U+026F U+02C0 U+0024
ɯ̄$	ɯ̄/ɯ	I	Ket	4	tɯ̄;qɯ̄;qɯ̄;kɯ̄	U+026F U+0304 U+0024
j	j	J	Ket	56	qonij_baˀŋ;qoja;qoja;qoja;əʁaj_bataŋ	U+006A
j$	j	J	Ket	106	qaˀj;ēj;qaˀ_bēj;hɯssej;bēj	U+006A U+0024
g	g	K	Ket	57	ogə;tugd;solgup;higdɯl;bəsselgit	U+0067
k	k	K	Ket	53	ekŋ;piska;qoktə_deˀŋ;senkalabelsˀ;haŋkon	U+006B
q	q	K	Ket	59	qà_qimbisep;həna_qimbisep;dest_qār;olənd_quk;kə̄qt	U+0071
ɢ	ɢ	K	Ket	5	iŋɢus;iŋɢust_hāt;tosa_tɯjiŋɢat;erɢat;oolɢat	U+0262
^k	k	K	Ket	106	kəns;kəlta;kuˀ;keˀt;keˀt	U+005E U+006B
^q	q	K	Ket	185	qaˀj;qaˀ_bēj;qool;qoˀl;qōks	U+005E U+0071
g$	g	K	Ket	3	krug;ig;vrag	U+0067 U+0024
k$	k	K	Ket	40	anbok;ekkinna_boˀk;ekkinna_boˀk;boˀk;boˀk	U+006B U+0024
kk	kː	K	Ket	7	ekkinna_boˀk;ekkinna_boˀk;ɯkkon;sukkit;dikkit	U+006B U+006B
q$	q	K	Ket	31	altəq;aˀq;təˀq;təˀq;laptaq	U+0071 U+0024
qq	qː	K	Ket	1	aqqot	U+0071 U+0071
l	ɮ	L	Ket	189	altəq;ulbaŋt;solgup;uldʌptaŋbaŋ;telɣil	U+006C
