Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL
^tow/tor/tob/tot$	t o w
(	NULL
)	NULL			$
<	NULL				<
>	NULL				>
^	NULL				^
č'	tʃʼ				\u010d '
čʼ	tʃʼ	kɬʼinčʼatʼi, haˤnčʼbos	Archi	19	\u010d \u02bc
č‘	tʃʼ	č‘uˤhdu	Archi	1	\u010d \u2018
č’	tʃʼ	guruč’an	Archi		\u010d \u2019
c'	tsʼ				c '
cʼ	tsʼ	χacʼi, aːcʼutːut	Archi	5	c \u02bc
c’	tsʼ				c \u2019
k'	kʼ				k '
kʼ	kʼ	marzu-kʼolor, ikʼmitːut	Archi	6	k \u02bc
k’	kʼ	ek’as	Archi		k \u2019
ɬ'	ɬʼ	kɬ'illíkɬ' berɬːi	Archi		\u026c '
ɬʼ	ɬʼ	wakɬʼad, kɬʼarak	Archi	21	\u026c \u02bc
ɬ’	ɬʼ	tekɬ’on	Archi		\u026c \u2019
q'	qʼ	q'alaq' uˤrbət'i	Archi		q '
qʼ	qʼ	paqʼut, kʷačʼetːut baqʼarankul	Archi	3	q \u02bc
q’	qʼ	niˤšiˤt oq’is	Archi		q \u2019
t'	tʼ	k'ʷet' χʷarši, k'ʷet' χʷaršilin χal	Archi		t '
tʼ	tʼ	šumijtʼu, kɬʼinčʼatʼi	Archi	23	t \u02bc
t’	tʼ	bičʼ bit’utːu	Archi		t \u2019
^č'	tʃʼ				^ \u010d '
^čʼ	tʃʼ	čʼan, čʼat	Archi	13	^ \u010d \u02bc
^č‘	tʃʼ	č‘uˤhdu	Archi		^ \u010d \u2018
^č’	tʃʼ	č’ik’ijtːu	Archi		^ \u010d \u2019
^c'	tsʼ				^ c '
^cʼ	tsʼ	cʼunas, cʼor	Archi	9	^ c \u02bc
^c’	tsʼ				^ c \u2019
^k'	kʼ				^ k '
^kʼ	kʼ	kʼočʼo, kʼalaj	Archi	8	^ k \u02bc
^k’	kʼ	k’elkes	Archi		^ k \u2019
^p'	pʼ				^ p '
^q'	qʼ				^ q '
^qʼ	qʼ	qʼarzlis kɬos, qʼuretːut	Archi	12	^ q \u02bc
^q’	qʼ	q’a	Archi		^ q \u2019
^t'	tʼ				^ t '
^tʼ	tʼ	tʼeˤ, tʼeˤčʼu	Archi	7	^ t \u02bc
^t’	tʼ	t’itːu ušdu	Archi		^ t \u2019
c'$	cʼ	χʷimc'	Archi		c ' $
c’$	cʼ	nac’	Archi		c \u2019 $
č'$	tʃʼ	χilikɬ' mač'	Archi		\u010d ' $
čʼ$	tʃʼ	učʼ, lilmučʼ	Archi	4	\u010d \u02bc $
cʼ$	tsʼ	ocʼ, darcʼ	Archi	7	c \u02bc $
k'$	kʼ	χːurk'	Archi		k ' $
kʼ$	kʼ	muštʼukʼ, kʼokʼ	Archi	4	k \u02bc $
ɬʼ$	ɬʼ	nokɬʼ, boˤkɬʼ	Archi	11	\u026c \u02bc $
q'$	qʼ	q'alaq' uˤrbət'i	Archi		q ' $
qʼ$	qʼ	diqʼ, huqʼ	Archi	8	q \u02bc $
tʼ$	tʼ	gatʼ, qʼˤutʼ	Archi	5	t \u02bc $
-	+	uš-mu-n lo, naˤkɬʼ-du-t	Archi	10	-
aː	aː	jaːχˤas, tamaːša itːut	Archi	9	a \u02d0
cː	cː	acː'ilinnu, darcː'an	Archi	3	c \u02d0
eː	eː	ʕeleːžu, beːχutːut	Archi	2	e \u02d0
kː	kː	kʷekːis, okːas	Archi	26	k \u02d0
χː	χː	marχːəla, eˤčʼ sotʼu eχːas	Archi	9	\u03c7 \u02d0
ɬː	ɬː	oɬːutːut, dubɬːas	Archi	15	\u026c \u02d0
oː	oː	basahoːnu	Archi	1	o \u02d0
pp	pː	qippus	Archi	1	p p
qː	qː	noqː'ˤon, hoti gʷarqː'i	Archi	8	q \u02d0
šː	ʃː	rišːitːu, uˤnšːəla	Archi	3	\u0161 \u02d0
sː	sː	osːos, nesːen	Archi	5	s \u02d0
t:	tː	ʁilit:ut, asmus orqat:ur	Archi	5	t :
