Grapheme	IPA	SCA	LANGUAGES	FREQUENCY	EXAMPLES	CODEPOINTS
^	NULL			273	-mari;-ani;-tni;-fni;-puk_-klakil	U+005E
$	NULL			165	ate-;ilo-;ilo-;damo-;iwo-	U+0024
^a$	a	A	Takia	1	a	U+005E U+0061 U+0024
^i$	i	I	Takia	1	i	U+005E U+0069 U+0024
^o$	o	U	Takia	1	o	U+005E U+006F U+0024
^-fffu$	+ fː u	_ B Y	Takia	1	-fffu	U+005E U+002D U+0066 U+0066 U+0066 U+0075 U+0024
a	a	A	Takia	1007	tan_tlyane-k;tan_tlyane-k;tan;gfgaf;mal-pao-n	U+0061
^a	a	A	Takia	69	ate-;ai;ad;ai;aŋ	U+005E U+0061
a$	a	A	Takia	93	fon_na;you_i-banai_da;you_i-skalik_da;weil_i-raklawi_da;nug_-ŋa	U+0061 U+0024
f	f	B	Takia	43	gfgaf;weil_i-fni;-fni;elefan;kafe-	U+0066
v	v	B	Takia	3	gavman;draiva_laisens;skrudraiva	U+0076
^f	f	B	Takia	31	fon_na;famili;flya-;fai;fon	U+005E U+0066
f$	f	B	Takia	4	gfgaf;faif;twelf;raf	U+0066 U+0024
ff	fː	B	Takia	2	mala-n_fflu-n;gnaffur	U+0066 U+0066
v$	v	B	Takia	1	oliv	U+0076 U+0024
^ff	fː	B	Takia	4	fflu-;fflu-;fflu-;ffo_na	U+005E U+0066 U+0066
^c	c	C	Takia	2	cot;compleina	U+005E U+0063
e	e	E	Takia	346	tan_tlyane-k;geo-geo;geo-geo;ate-;beig	U+0065
^e	e	E	Takia	5	eis;elefan;eit;elabaen;eleksin	U+005E U+0065
e$	e	E	Takia	51	nanuk_swa_te;-ple;-sare;-swe;patete	U+0065 U+0024
^h	h	H	Takia	8	hanibi;hani;hat;hedben;haŋgisip	U+005E U+0068
i	i	I	Takia	281	did;tan_tni-n;gib;beig;malin	U+0069
^i	i	I	Takia	42	ilo-;ilo-;iwo-;iwo-;irao-	U+005E U+0069
i$	i	I	Takia	232	nwi;you_i-tlanti;you_i-tlanti;ai;patui	U+0069 U+0024
y	j	J	Takia	50	tan_tlyane-k;mryaw;tamol_iwo-n_da_ya;pein_iwo-n_da_ya;flya-	U+0079
^j	j	J	Takia	2	jag;jas	U+005E U+006A
^y	j	J	Takia	33	you;you_i-tlanti;you_i-tlanti;you_brruk;you	U+005E U+0079
y$	j	J	Takia	13	nug_-moy;maoy;grgroy;klloy;klloy	U+0079 U+0024
g	g	K	Takia	96	gfgaf;geo-geo;beig_awa-n_tbu-n;grgor;dagu	U+0067
k	k	K	Takia	101	you_i-skalik_da;you_i-skalik_da;weil_i-raklawi_da;kawkaw;yai-kas	U+006B
^g	g	K	Takia	57	gfgaf;geo-geo;gib;grgor;geo	U+005E U+0067
^k	k	K	Takia	93	knawrig;keit;kalam;kawkaw;kbakan	U+005E U+006B
g$	g	K	Takia	28	beig;knawrig;bug;dog;bgabeg	U+0067 U+0024
k$	k	K	Takia	97	tan_tlyane-k;you_brruk;nanu-k;nanu-k;nanu-k	U+006B U+0024
