Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
b$	NULL	nyob, tub	White Hmong	270	b $
g$	NULL	yog, lig	White Hmong	163	g $
j$	NULL	phaj, kaj	White Hmong	168	j $
m$	NULL	niam, saum	White Hmong	164	m $
s$	NULL	mis, ntaus	White Hmong	173	s $
v$	NULL	ntawv, yuav	White Hmong	221	v $
b{}	NULL				b { }
g{}	NULL				g { }
j{}	NULL				j { }
m{}	NULL				m { }
s{}	NULL				s { }
v{}	NULL				v { }
aa	ã	naas mom, naam	White Hmong	4	a a
ee	ẽ	nees, luam yeeb	White Hmong	82	e e
hm	m̥				h m
hn	n̥				h n
oo	õ	foom koob hmoov, pog koob yawg koob	White Hmong	98	o o
^hm	m̥				^ h m
^hn	n̥				^ h n
-	+	qhov-txos, xeeb-ntxwv	White Hmong	104	-
ia	iə				i a
ua	uə				u a
^ia	iə				^ i a
^ua	uə				^ u a
ia$	iə				i a $
ua$	uə				u a $
g	ŋ	cog lus, pog koob yawg koob	White Hmong	57	g
^g	ŋ	gus, gaib	White Hmong	2	^ g
ts	tʃ	ntse, ntsuas phoo	White Hmong	76	t s
^ts	tʃ	tso, tsaug	White Hmong	47	^ t s
w	ɯ	ntawv, chaw mos	White Hmong	104	w
^w	ɯ	wm	White Hmong	1	^ w
w$	ɯ	saw, caw	White Hmong	9	w $
^w$	ɯ	w	White Hmong	1	^ w $
_	_	nrog tu siab, ua li cas	White Hmong	736	_
a	a	niam tais, puab-tsaig	White Hmong	1035	a
^a	a	av nplaum, aws	White Hmong	7	^ a
a$	a	tua, hnia	White Hmong	48	a $
b	b	sab qab teb, sab hnub poob	White Hmong	189	b
np	ⁿb				n p
^np	ⁿb				^ n p
c	c	ncaj ncees, qhov-cub	White Hmong	64	c
^c	c	cog lus, ci	White Hmong	52	^ c
xy	ɕ				x y
^xy	ɕ				^ x y
d	d	cua daj cua dub, phuam da dej	White Hmong	25	d
^d	d	dej, dag	White Hmong	42	^ d
d$	d	ntawd	White Hmong	2	d $
nr	ⁿɖ				n r
nt	ⁿd				n t
^nr	ⁿɖ				^ n r
^nt	ⁿd				^ n t
e	e	dej, kev	White Hmong	179	e
^e	e	ev	White Hmong	1	^ e
e$	e	ntse, nce	White Hmong	20	e $
f	f	kas fes, sib-faib	White Hmong	6	f
^f	f	faus, foob pob	White Hmong	9	^ f
nk	ⁿg				n k
nq	ⁿɢ				n q
^nk	ⁿg				^ n k
^nq	ⁿɢ				^ n q
h	h	noj hmo, hneev roj hmab	White Hmong	42	h
^h	h	hnov, hnia	White Hmong	101	^ h
ch	cʰ	ncha moo, ncho pa	White Hmong	4	c h
dh	dʱ	ras dheev, tsim dheev	White Hmong	2	d h
kh	kʰ	nkhaus, kws kho mob	White Hmong	16	k h
ph	pʰ	ntsuas phoo, tsw phem	White Hmong	11	p h
qh	qʰ	ib-qho, nyom qhuav	White Hmong	9	q h
rh	ʈʰ	nrhiav, khaub rhuab	White Hmong	3	r h
th	tʰ	tiv thaiv, thoom thaub	White Hmong	18	t h
^ch	cʰ	chaw mos, chaw nyob	White Hmong	12	^ c h
^dh	dʱ	dhia, dhau	White Hmong	2	^ d h
^kh	kʰ	khav, khawb	White Hmong	30	^ k h
^ph	pʰ	phaj, phaw tshis	White Hmong	20	^ p h
^qh	qʰ	qhov, qhov-txos	White Hmong	35	^ q h
