Grapheme	IPA	SCA	LANGUAGES	FREQUENCY	EXAMPLES	CODEPOINTS
^	NULL		NULL	0		NULL
$	NULL			10	ađ’arraf_(n_ihākusen);awān_(i);awān_(i);t’t’āf_(i);qƀəř_(i)	U+0024
(	NULL			16	ŧaħr’us’ŧ_(n)_uməžžun_?;ŧaɣmā’ŧ_(n)_uɣiř;ŧařəqqa_(n)_ufus;ŧisi_(n)_ufus;ŧar’r’əmmant_(n)_uđ’ā	U+0028
)	NULL			16	ŧaħr’us’ŧ_(n)_uməžžun_?;ŧaɣmā’ŧ_(n)_uɣiř;ŧařəqqa_(n)_ufus;ŧisi_(n)_ufus;ŧar’r’əmmant_(n)_uđ’ā	U+0029
.	NULL		Tarifiyt Berber	3	gg_imi_đi_...;gg_imi_đi_...;gg_imi_đi_...	U+002E
^đ$	ð	D	Tarifiyt Berber	1	đ	U+005E U+0111 U+0024
^gg$	gː	K	Tarifiyt Berber	2	gg;gg	U+005E U+0067 U+0067 U+0024
^kk$	kː	K	Tarifiyt Berber	1	kk	U+005E U+006B U+006B U+0024
^šš$	ʃː	S	Tarifiyt Berber	2	šš;šš	U+005E U+0161 U+0161 U+0024
^u$	u	Y	Tarifiyt Berber	1	u	U+005E U+0075 U+0024
^ās$	aː s	A S	Tarifiyt Berber	1	ās	U+005E U+0101 U+0073 U+0024
a	a	A	Tarifiyt Berber	725	ŧammua’ŧ;šař;ŧaʕəžžašŧ;ŧaʕəžžašŧ;ŧaɣəbbā’ŧ	U+0061
ā	aː	A	Tarifiyt Berber	95	ŧayəzzāŧ;šāšā;ŧaʕzāšŧ;ŧawəssāŧ;ŧāƀifŧ	U+0101
^a	a	A	Tarifiyt Berber	339	aƀəǧǧaʕ;ađrā;ađmā;addā;aman	U+005E U+0061
^ā	aː	A	Tarifiyt Berber	27	āyaz;āyaz;āƀiƀ;āžiž;āyyəħ	U+005E U+0101
a$	a	A	Tarifiyt Berber	246	ddənya;řəwđ’a;lǧazira;ŧma;ŧanda	U+0061 U+0024
a’	aˤ	A		8	ŧammua’ŧ;ŧmua’ɣi;bua’xs;řƀua’qi;ŧɣua’fəŧ	U+0061 U+2019
ā$	aː	A	Tarifiyt Berber	117	ađrā;ađmā;addā;řəƀħā;řəƀħā	U+0101 U+0024
ā’	aˤː	A		30	ŧaɣəbbā’ŧ;žžā’f;ssħā’q;ħā’q;ŧamɣā’ŧ	U+0101 U+2019
^ā’	aˤː	A		9	ā’xu;ā’šəg;ā’fəʕ;ā’žəʕ;ā’wəř	U+005E U+0101 U+2019
a’$	aˤ	A		1	ššaqua’	U+0061 U+2019 U+0024
ā’$	aˤː	A		15	řƀā’;akiđā’;axmā’;fiɣā’;šxā’	U+0101 U+2019 U+0024
f	f	B	Tarifiyt Berber	99	ifri;ŧasrafŧ;ŧafřəwŧ;ŧfušŧ;ŧfawŧ	U+0066
ƀ	β	B	Tarifiyt Berber	114	aƀəǧǧaʕ;řƀā’;řəƀħā;řəƀħā;řɣaƀəŧ	U+0180
^f	f	B	Tarifiyt Berber	37	familya;familya;fāšu;fiɣā’;fus	U+005E U+0066
^ƀ	β	B	Tarifiyt Berber	35	ƀnađəm;ƀaƀa;ƀaƀaɣayyu;ƀaɣəř;ƀayana	U+005E U+0180
